id,chain_length,derivation_chain
2u3JjLAqANNhYCr6j,49,"['9jPK8KBWzjFmBx4Hb', 'y5bJXPNCe3wyhcurx', 'aBg7pDvBCGpDMJbHT', 'WZYvRsKFmZBuzyKbS', '6w4TuFnTy3c7yXLep', 'FaKftHpsxqwhdEL8w', 'Fk4cxT9g8SJaoChPF', 'H5YLKQvPvhv4jJvr5', 'nX2iTevNzQeJ9e79j', 'gDAzKFP5ivjJEzAJn', '9Hv57dypRrFywLCd9', 'tYwPvm4gZ2a3YkuhZ', 'HNo7XaytNhgfEeyXx', 'v294wYGMsNjzjQrvQ', 'aDd9mj4oEpZ5nx4hL', 'yPX6waxLe2efSy7xt', 'JW22X9yEG6Rk5JMHQ', 'F9euQ3mgSzHBNHsvk', 'JyKdqmSJ3iADZZAWc', 'LPptqCQYEE8pYFPNG', 'ak3NnGCYf9tQLsD49', '8bBYks7d6frM2KvRb', 'r3aytxTzdfG33oLoN', 'Eot6zHz7fhFXvWnAe', 'NRDbtkjCxgZL5DgDT', 'H7CBaTGwC5XieLJdM', 'joNHsMmyE4BibxrdT', 'ggLDkPyvAiDv4tXnW', 'HwGpPWmBePAmpri2Y', 'Q87XCSt58D4k9xvj8', 'WdQwsEHHybNQGEQmz', '6NgNZoRoJYR3h6LaZ', 'QWzjoT2LF8kgtLjC8', 'f3iK4xRBDpmJ8eHgd', 'j8sydttQE8apiheek', 'Be2jHtbPir9SrQdpi', 'Ho4eJMZppm87NvQjC', 'LXQ6jMxX7XHAiekEr', 'vfTk2vBSu5qTmaRaT', '28sfjMt6pYJq9yMjG', 'stEb3ubYdTc2PA3Wk', 'RRC5EvnTKvtiBSksF', 'QwSWgwX9RXehyuXTu', 'GLtxrFwpNBMppweeC', 'M2YobGHG7oo29MwSA', 'aJi4rrR3NPkr5sMFD', 'm3qED7ghmpdpKTaX8', 'HBhcbeoGWqSzwHDgq', '2u3JjLAqANNhYCr6j']"
9fm5gvWbokWhpBKqB,18,"['9jPK8KBWzjFmBx4Hb', 'bH4Dj6hAETin9mBc2', 'h9YPs7E5r3KbhoAZP', 'LHfYAHnTqGKMCsbu2', 'tPmrgGwQt6cbebJw9', 'q2nWGdxwMtHJFychk', 'hmNNZBzmEnpmwNxbn', '2dRLgi6zSCpvJhzA4', 'tCbsKQ49P6twsLzwm', 'PjjK6tBuzMnJWjdMh', 'TfLHJRLYbRYHMBfFK', 'A5bAY7qSJhijuucpo', 'LEYxiEGCkfD9i4yML', '7QeF56MHmf2j78Kch', 'qi5GQJ55kNkRACEE7', 'MEX54YXZZ7MyogQYj', 'G6orGemBdZAkYe4Dr', '9fm5gvWbokWhpBKqB']"
qCXykJBTfsLPXbRdz,27,"['9jPK8KBWzjFmBx4Hb', 'KHEJXiAB5F5Ng7GgJ', 'PXLGmdj3jZNta8KhK', 'rFL2nXx2oR5FjPh2n', 'MeLxNDMvBnSkzRExC', 'KyJ6s2hNnrzkfoHWa', 'huzh8jf7rP7hg7LND', 'sGpfzDwswMukrqTwM', 'oMwvgbeF286cfSQAA', 'umgA9x49Xqg6MFWMs', 'tuzey5LNStpmYaELE', 'R3vRxo3AZ5pQoaz8n', 'BWjZMMgPCKCQykWLR', '3hPThCnJk8nwgse3u', 'ns82SNAfv5vrHogsq', 'FbKvPqPgQ5g46u5y3', 'GSEWDH6ou9Lur3pNE', 'kFQjkKGqXjAHai2vH', 'P8MT2v8JEhen5vknt', 'dSd8kR2G8Q9TdxCcS', '3NZdcvJZFax8MeSwC', 'AvWTwyyCYHBrzeDLM', 'BkSbLzmA3ZGYRjcP2', 'g59yQxfy48FxcmEXE', 'vHy3K3ARdcMtZngZc', 'Gav26jB5FSx7yQSHZ', 'qCXykJBTfsLPXbRdz']"
B3TcLpqzsgAqswZef,62,"['9jPK8KBWzjFmBx4Hb', 'dKEZmi6fLwigwSqCu', 'waXXhgPZ4CYhAqtue', '8JZWoNDSrQ3PXdeGq', 'eRPq4WFCD3Fj9pSi6', '4dfoKz92bcck6Srua', 'w8o27DpzrEsPQ2oS6', 'rAiA5uctu3iXcLN4Y', 'dKR4bsFMdsgKbAYDZ', 'TPsxWmXSNEsc7wiyM', 'fchorkFRcyukM46s5', 'DttMkdC55a3zn3JbM', '9LHrQWw9h3m8SpcbX', '4JHQyzHAkE89xLMfn', 'wTgYgFwT6zYWxYxur', 'wmYg29YhTsX9vAi3W', 'Diob2JCh9yei4Cp5J', 'bnduceBFB6W2TSG4B', '9GxamuCyKHJ2Zzi6Q', 'y9mfqBpzmNJ53w6Bn', 'KmmocWuPPzhE3NmfY', 'PXHT7HqkpcvZ3WbJd', 'XMWgYAQTiB4LXkAtn', 'R4LjemyeFhKD8Q5h5', 'Kw9iqgge8aAj8vHx7', 'JsR9gbeqD5oKQk7xy', 'X6QsYgvdbc4P4754C', 'yRworpgXpcizd7hdw', 'vdYP6eJ6hodqbaedX', '9EDoWgh7D6pz2x6uG', 'rHh8ph9Dqda3AT6ZL', '8rCG3b5KtEHioq3Ek', 'Hg3SaDNqMc3uSXY64', 'TiL8ZRzm9iNF9dCyH', 'ESSnn82eDaKJk2bnp', 'MbNtxsHknDPd3Mpc3', 'f4NhAP4kXLwz5NDLr', 'v654giz9YehdoCDCA', 'g4ezrHCZ8qoGhBPyM', 'b2i9HZdkf3HedkmNx', 'ccjxSTpicMzcQJssZ', '4ZnhPspD8dkzqwdmz', 'QsGhbmqzdRXfFjBNo', 'z838wA28tFe9WYbLT', 'ix6v7CieKPmo2ma4p', '9QzZgydoqvYb4eEcD', 'bz8kyyNSSZLfdDsdN', 'rzDsJSnkD4eK3T492', 'WqQ4vxJgvz2TbedhP', 'S8fNbPB6tXagEr9Tz', 'ixHG3iTs9iyyc4dE5', 'jMHNBRALXsRT4ymTq', 'aGxhN8qufG766zoQb', '9jTJusYPoX3nrufDu', 'xPBXWd5vNipDjy3eB', 'fikv7uDEZE9i6irwo', 'X99RuKqgzRS6JsJBp', '7pjtAZvmCFmddJ26b', 'c5vmXBGaGPGqKSWPR', 'msrLeDn3DpAvftT8n', 'AKaF6n2H2BgqyLrR3', 'B3TcLpqzsgAqswZef']"
Ym7SGD3bMh7isWsnR,15,"['BGnWsiJhqWwaYPo7G', 'Tw8uaZowbSCotoCdD', 'kREWhbFSiix6PdywD', 'xk4jpRHNJ6vsBo4kT', '6vw72bG6JCNhxeDcR', 'EyXPLRr5k34BYxAwf', 'CPvbP4sLgBBrznYYr', 'deXZJNB9Cozmsm6dH', 'jWNmtr7QTDhvWzaHd', '87DM32y6RwznYibg8', 'ja5Qj9xqCbriHafkS', 'arZ5w452ntPPhdQsF', 'C2WQS7Q5isAXBacMt', 'gNdhwwqExekz3Jt8i', 'Ym7SGD3bMh7isWsnR']"
PPEsvXnyf76pfsv9Y,2,"['9jPK8KBWzjFmBx4Hb', 'PPEsvXnyf76pfsv9Y']"
F7owei4fZuu68NJf6,60,"['9jPK8KBWzjFmBx4Hb', 'XBNRx4SMF3tZxSm4P', 'CG9cP7gFQdazQCpPi', 'osM7SzcYe9zAKyRMD', 'asCyCG8ThfYbBcN8h', 'oTvgvW8Fp2L5gzcgw', 'HJuDCX3Zj4dbkpd9m', 'NQzpAxQWc2bepoeu5', 'Pn7B9zR5eY8hh9yAr', 'HAKsJPTPXRKii7Q2n', 'RGtG74SB8idByL8mJ', 'P9bdxK3yoDg4gXAjH', 'MRAe5B6FA3KGt9vrG', 'n8rWovppqXekuSBi2', 't28JH3vNGRjpihgcQ', 'pqDfjntRuvfHHx5Ba', 'xDp77aXibiM3u9ddq', 'BGdSxexzyD7KHzjcQ', 'HeSnqHNDLE4oqPgRn', 'uGhdyCPZqoQYjtk2g', 'Ddnf7PDQ4T8wJSYvW', 'CM7uFrKxPxjtKJLbK', '5iCnGWSM3xFKenvyH', 'QYaxgZQ5ZhGNoLnJf', 'X27W7EoiYrirNcgNb', 'sZ6K4wWHzvzmr83og', '45uZoyFEhKfsxB6JF', 'L2WaadjfyEv7qsAt4', 'GAFXr9NPRpEvWCWot', 'G8HajbvgtAHKtHRdq', 'XddQZbFdfBWa9zw5c', 'Sw8FjtauH6sHNjyE3', 'zF5nyeBH7Bpt3CEzS', 'wNPNhBGuWz6D2wcLH', 'vGxiDtwcfwQtkgmy5', 'vdXvCbMtfdmETZSyN', '44LMNyXGF8Xu6iwT5', 'BHXQdndTfPtsX44tA', 'tP4wF8dBkyEAcgo88', 'b6XnWtBTrYvKjxNGs', '4qRdrz9S7o8HTkukc', 'Ro4QjwgsZMwCFz82c', 'jxz3foXxTf7E8yf8M', '57TuLfdtDJDrsFDiP', 'B9tiHx7sZbEqP9RAt', 'NQNG8L8WtoyJfgL3Z', 'qqKZTX43JcQjFkKaB', 'BeZtp5eLGcpk8P6Wj', 'fmeqCuNhQvptMQZdX', 'ezsiDvnTMwwFgD74m', 'hyPJWiY8ZDMEqA6ri', '9C7u46fpgR7AvwbsX', '5cpZPWQsRTTx7qfbv', 'qYkzwyTXRoJ3msF6J', 'rWjvRZBER5MKFt6or', 'CDtsrfQvkdNkFQdRZ', 'hGWrydbrBGkFrLx6a', 'Hdxsz5pgKHDubyqa6', 'QqtfZKuN9qtiuZG9L', 'F7owei4fZuu68NJf6']"
vpPyagBCyBg3N4EWT,106,"['9jPK8KBWzjFmBx4Hb', 'NGqY3dnG2Nv6yThbX', 'KTk2dCuBFy2eXqtcg', 'TmzFntZFh6AGFxBwx', 'bjTbQdwn8fa4bahFb', 'eB4ELgfC7M9fiCLD2', 'eQCDRoFTv5jMzEvvX', 'miYv24Ffcy7HQ4Bzu', 'LjdPRkfuHfKGmxkNS', 'dJD8xGC5PrRAn9aTY', '3bejoPotCEfEpzwai', 'MfvcoqdHcg6PRZwZt', 'L4i3Nn9oCmdLRzRnj', 'RSBCZhvpSphkte2tp', 'Hxi5AZnLWnsagfAxE', 'y2gLk6FuZsmsP8ZH9', 'XkpEcBmqmHmxXqTEw', 'e8ivcA9jvkF7k8f5o', 'TuwaxqAH9GK9LsaF6', 'mzeWk2succAoNC9Gr', '42YNTimfKModwcv4s', 'ZLKBeTcrTp8CWeyvj', 'LfTgXYhskYLbkio8m', 'ZmxoWrbQ7Jno8KfCc', 'vRczvbZ2gyMmWBAKb', '728qmKmA9icPZ2EJj', 'hXqpmebzzd2k5gNvX', 'pqpxnQr82vsbPPjZW', 'ADnfX7g7oF67K4vJb', 'FAfETFoByJp9ick6F', 'wMuQiqnKJru8rqRJ3', 'tPgHFAzPMzZGpz7uc', 'FuruMzFm4Q8KtzAiS', 'NYAHHFeYWQk5xL9eA', '4K2njbjy5s5J28jcp', 'JfkmRrAL3DcSHDwhS', '4AGK2wqRcR3fn34JC', 'GTwjEuf3PNELpeMiY', 'ZNhNygntiCocry692', 'FQucdRZ3hwnrWwjh6', 'j9bN966QXwWxMHcJi', 'XW9HrDRZF4yM4iCc6', 'dYt2fdQT3wd54qYD7', 'eeQvcyhYvEmTnacW3', '34xYtTLtnbgbLS8c9', 'dRuNdHM6sX49QRQLR', 'm9HZE2fZt9WwXrsGe', 'S6tdcgLrMGeG2fuPQ', 'x7BFd8HTPFjAtR9pZ', '5vGqACq5HjZGvfjTD', 'LWmfjQ4cEowqTKWvh', 'D78Gv4pcsfwauwr83', 'PtoYj87odL3tCBaSR', 'kMdmENNXhPYswkJTc', 'zgSgegLAsP7adpdqY', 'yktrwS4f8QN5WMhc9', 'LoLaWCCtkJwqkfgCN', 'mc5XA7uwkev8rsKxi', 'swtnekqXM4JjrXbXW', 'XGCzDny6ovC7W66dy', 'BNMArEkk7dKxtZpkv', '5bPBiiAbs9NaSNp3u', 'ZScuhjsjH8DCo4q2c', 'ZurSqtJuT6xtLaskf', 'PMNMXxu3qRtQkt8GQ', 'HD72y2tn8ZH8jDPsN', 'raRXFvyofGywkbS5s', 'zWXsHz9nWfcZcZnSF', '2vKd5DAkFNnF7dMcX', 'Xq69gGZj3JSQr2zbq', 'qvqhWTeAMposBM75p', 'iddssJWXoRPkeDBPX', 'v9vmPb7ammvNoPffL', 'BiE3qoonDPZxf2XT6', 'z4d9b5Au7MANzZmzx', 'XiCvwnSbu9Gx2jsrx', 'gLCf8g2akCNmSHf7Z', 'GToptnowxiKXS6mgj', 'djDkYfZvCttpjvtWg', 'T6i8EK9ZjPHeK9ejc', 'AxfAmLCMgudXhr2L8', 'jPiNt6kHYLKY4H9Qf', '5qLSTKWo9tJRNrWY7', '3tL4CiuNNX5Eqf2u6', 'z3DKp46vnJid2FDua', '4Pmes9cbJCL6coFit', 'oggr4hLQ5YZBtBZhb', 'gnFoE9QfWSa9jMSwL', 'afbgGFbSHDtr24NzN', '9fQgCeDT4x4Gd9Add', 'NFp4o2sEa2RMBmNA7', 'F4KvQH5yN49NhZHHk', 'J9uasp5Xb2aEnb3iC', 'TDWTwQscxWWntWyRb', '9jL6M89EguhkkR7tA', 'JcJM9hYsvqu5GNwoD', 'r6SSQM23E4R6yHagq', 'rXe8LAGK9tYabj6rs', 'JRRZsr7e6CbLYSy9m', 'hSsMTocPF5z3MffvS', 'cqXwX9nTkzb2q5s57', 'ncxB7SoEZQGhkAzAf', 'QF2KMMesZYfdc4Cfi', 'M8HEkB3ty3qdc5QSi', 'yzRDXBSyYFmEYwtrq', 'vpPyagBCyBg3N4EWT']"
JCzZ6wk2sT4vGj86e,77,"['MdZs9uee25QgFwvi7', 'GR3gHn8yGEGzBBs2R', '4pzNyA8WGbkL8Pque', 'ab9pPjEXdK9bkxXxC', 'yrCEXoaziKN6ZyacN', 'mtnCePAxwkfjYyKRi', 'MdqsZM8mDYsMvxzds', 'tEuRR5wpsARHc9zqv', 'y4ushMnhdF8crc88W', 'dNRJLqZ2XHpagPXhL', 'TzfWPiW37mfyd7j5X', 'x7mivsc8DzBFGmXAY', 'DcXTqWsL8WzbRTEms', 'jN5Kf6hBhF4XFQfHB', 'mMBQBHkLB9cbNncvz', 'qGHKAkikk68BYnGMw', 'XSLWndYgpaqxKFSi7', 'kScqSb224cKjmi7vN', 'QxzuNvMxDBYNeyHKc', 'SMmzCc8j46DAZBeYL', 'xJ6SY98p37arvMdoh', 'DxEyQKAQZpWYg4HuP', '2spJpP9XvE7s3rFo8', '8LB8dF8g85LjQpCGh', 'TMfyk88J5EYF3AoiC', '7tqnnGZk9EJLLFYjk', 'TtxjZqhRvrdGLqm9k', 'Mvs6wMcLjoAWBKNpG', 'rdPyAukid2mcjS5nM', 'zxsn5B4352rTkPKpn', 'LGCzHbCd8fQJ6adPf', 'HtbiC6ThhJSZgQB4s', '8nfajn8gYg7H6426r', 'g3GQr2Se2b89oMNaH', 'rDqmTGno9Z7wNEcoX', 'gTGuowAsSBK7PLWDj', 'rGQbKM57KDQSc9tMe', 'BzcvAcvfrGPHicSjB', 'qJPBWpRT8PtatjuTm', 'zP4YxfTijqHd9YycN', 'jYppRZeXAAzwTpW2H', 'pbBfBmE6GKvGD9hBS', 'qc8g8JxxRi35MTvGX', '6oGgFgnDTc5ecK6k8', 'Xw6NaXsW9gxfR5m9B', 'wLqjoJssRqJ3nymxr', '6DT8oZjfkemKShrD9', 'FPXLXyapPzPAKbBnM', 'Ygu939Mf6W9zDPqMz', 'xxfStMNvsEw6WQcTn', '58S5bKtyvxXJQttT5', '8Wnfi7Te33BxXBbPr', 'rM7encnZLKMedjwW4', 'iRx43jwbA8r8i3Czs', 'tX8KRM22NLQdtNnEQ', '38aWjvGCon5TxaBeC', 'axGqH2DkExeNKs27B', 'ipADGtxxtB8mWsZTW', 'hK59jnYbjZm4MQnEE', 'fnJzrrpcj6umPDv5Z', 'XeXKoQ3nY2ozkQfQ6', 'ywBcSd7vLhuWTt7ZR', '7X2Xf9szSKcpPz6mQ', 'LwoG2GydxupuQWqde', 'bCuL2wqJK9khxz7Pr', 'XwMSGNFsTL28KgBMz', 'feAqeidonnHemeEiG', 'ZP9AHoR2ZtASjF5dS', 'dh5EopQqbBQ7tevYE', 'MsJdJknAuudPnL2Mw', '8x4Shj67PijTgxgsn', 'fEFWjHMDXyJXJaGzS', 'ZJW7w7mkFfHzSnhxQ', '6kgs78upr5uFEsRwT', 'fFCBZjwHP6kut5sDQ', 'abiy4kr84tdGuKJur', 'JCzZ6wk2sT4vGj86e']"
xbHRZKtEEX6ECdL7Z,3,"['9jPK8KBWzjFmBx4Hb', 'xiJ9ipczDBYRLXMum', 'xbHRZKtEEX6ECdL7Z']"
qq5vmuizcZSbgSSKt,2,"['CxtWguApz2FZXvyAM', 'qq5vmuizcZSbgSSKt']"
