id,cmd_i,derivation_chain
9jPK8KBWzjFmBx4Hb,7,"['sef9QCR7RXhDBLaLR', 'X2hLCQ6ArWwq6B2rZ', '4hmgr56t2cdKcLDp5', 'ja8Nj6x4sAmkPi6xw', '5HqB5RXyNKpKTmNpm', 'JFhu6SRXybNAT83Xb', 'rgfnuu857wRHv3gcW', 'rQ4HPkQawLrfmqZJw', 'eTZJN9AJuson2o4kc']"
9jPK8KBWzjFmBx4Hb,8,"['Q3S9iAmPRBTZMjDPP', 'GnpvadPLkrw59g88f', 'dtdwPoK7K3DeH7vvS', 'yhn4FrKG6Dc7b2NaH', 'PLJJw9fsM5TRMQiy6', 'pPKgA5xWwz6FNE442', 'fdw8usza7C75rjjTy']"
9jPK8KBWzjFmBx4Hb,9,"['CxuXt6xsJsxqXqko3', 'tQGrTvBDJoM2wW35j', 'Mg43ihRTaSvKZS6uY']"
9jPK8KBWzjFmBx4Hb,10,"['t6u9syAHXoZzZTyPN', 'AL42hF2jLKb2C4dDG', 'QEtsLM2wmGAggiD6u', 'C2EQQSvgJwHBRqZCZ', 'C9pbWsWdabtQT47ND']"
9jPK8KBWzjFmBx4Hb,2,['ZmFER5FDLgzK4h4Be']
9jPK8KBWzjFmBx4Hb,0,"['DrFLaaABkgDK67MaY', 'EsJ7TwYhKYyjPDKby']"
9jPK8KBWzjFmBx4Hb,1,"['D4BBTgJJCNkewxSRs', 'DjFjw6s6go6dHYM8w', 'rZWJX4BtMQh2Pz4zt', 'xTYaHMPxQntzGM7W3', 'JCRsPuhQPucq53r95']"
9jPK8KBWzjFmBx4Hb,4,['hygKcBB4aivg4fFqZ']
9jPK8KBWzjFmBx4Hb,8,['HcdGm6W8JcZkLJeQK']
9jPK8KBWzjFmBx4Hb,18,['a856DAXQqEic5BG3k']
9jPK8KBWzjFmBx4Hb,19,['MrieKkxj52sFLSQLH']
9jPK8KBWzjFmBx4Hb,17,"['vXNwkB6WWMzeD8EFu', 'fpvGbnX62DGiAtSNb']"
9jPK8KBWzjFmBx4Hb,7,"['HC89FHAKZDYho7Jck', 'YvHtpZkqFdM6YgvJD', 'JhTLennjpWqJzpjXx']"
9jPK8KBWzjFmBx4Hb,11,"['5fddLLrSqEH8FrKm8', 'Deek2toL5cfNDPoEb', 'DTgud25MXA99KF92o', 'f7ugMHLMxoev3SAdy', 'B6DPJLY83KeMav9xq', 'whJosMNYKx7RZQv78', 'TaMMv2pd4iZY5GCFM', 'F4P7B9ALZD2fD492k', 'peG2yeaL9HSbQkYB3', '9D2oWmuvjEuWHvZzP', 'u6BjEJdCMA4h6huTM']"
Wp65XgLwyLp8wR6jx,16,['ff2eoxf9vNAg2zBMf']
Wp65XgLwyLp8wR6jx,17,['cFEeySp7iXaJDrDLu']
9jPK8KBWzjFmBx4Hb,0,"['CCt6wniT5St2hKKFr', '5ZNvaTddSLXNkdJHZ', 'rQiHpZRTeqjuLPZ6K', 'Pa2KH2EWJDCXoDgX9']"
9jPK8KBWzjFmBx4Hb,1,"['BRrc8uxs3Qxxg6qT3', 'nmv8XaFnZGRYnMBSL', 'sP2i3NkvtasnrfTRG', 'ZGknyF5y8szdBMMCH']"
9jPK8KBWzjFmBx4Hb,2,['dBuBJPqgKQCJFoxTJ']
9jPK8KBWzjFmBx4Hb,3,['bq9gMADR7vDF7guwE']
9jPK8KBWzjFmBx4Hb,4,"['kXBF3YeytfmtD9PyP', 'sonwyFZWd4d5Lszvz', 'uWYagensDGZWSQCvm', 'kn7x3fNcZdNtDMFyL', 'mJ7wH9yLtT8Lka7vb', 'yQFQAnD8SRa5ERwYP', 'L4wqWr8nEgYEaifyL', 'HruoCi8sNAkdzZHoD', '8ZNJ6xH6YBJNRkauc', 'KbBLZrZpvr5cNERxk']"
9jPK8KBWzjFmBx4Hb,5,"['XX7mpztNhCiKrKNLv', 'GCBrtYHMvAP5LjkqC', 'pZ55SCfnvnvxqBsSw', 'se8FtoMA6YA45RvS3', 'JnSQ9G5jFfbaNp7tL', 'vyw2XopD7vcJcnc7f', 'Sai5yddEch6sXbkdX', 'PP9b2iBuf9YLnWH4r']"
9jPK8KBWzjFmBx4Hb,6,"['uSWrSu6metjLGNdqq', 'ru23KMW6KGfC5ompq']"
9jPK8KBWzjFmBx4Hb,7,"['v8s8zHF23oXjYshoY', 'v6NEfQeanjGnFoHQC', 'queSmDyZsr8DrmiKD', 'fTNafCfF2w3uyDRZQ', 'w7hDXrSYsBTQE4krr', 'iie5jfpxcNG2hzzWJ', '9m3fkxPEDth5ZXjTb', 'g8kDRhCC7RZTrrZs8', 'nGEja83thZ3dYPz5n', 'W9XgvTM6BzKHCBgec', 'jkGrShmYcgR9kXb6s', 'fywZQfK9cxcWqvS2d', 'yu5CM9hFEBZpT5FsB', 'Se5XatvSe96mZtW2f', 'SeqiRJMDbbScpoLJT', 'sf7FTJphEwrJMkhwG']"
9jPK8KBWzjFmBx4Hb,8,"['XEgzhuDSMpMgs4QpR', 'PYqaAx5d4ZM3HKnqX']"
9jPK8KBWzjFmBx4Hb,9,"['jBZj8RgyzWcPha7Pr', 'WwWgojCbcpxE8Dzdg', 'XnWCY5pguntPZLdy3', 'TwkrW3ojtZrkAF8vg', 'Af5JJu77fAMFkG6Aa']"
9jPK8KBWzjFmBx4Hb,10,"['tLQ54wjBvLigTpjXG', 'ocFmyKuMYwdCFrNyw', 'ewRiam5ydn7ToBsrN', 'PLGTpdePL4dNSihy6', 'CdTzoJxxiKvgiiCmT', 'tBEDEdQB8yzMb7Hji', 'bm6b83yckqd2pafKA', 'TcrPbLJRhH85SA3RP', 'pxFWPyYscfCc9Hgwe', '89cbFivxbAddzzs8A', 'jJi5NjmLWdbD3yp6n', 'BFbBhR5bNHPQMhKJm', 'Zd6gAjWtyGHZWT5zD', '8KGv5F6b8ySPofNdJ']"
9jPK8KBWzjFmBx4Hb,5,"['y5bJXPNCe3wyhcurx', 'aBg7pDvBCGpDMJbHT', 'WZYvRsKFmZBuzyKbS', '6w4TuFnTy3c7yXLep', 'FaKftHpsxqwhdEL8w', 'Fk4cxT9g8SJaoChPF', 'H5YLKQvPvhv4jJvr5', 'nX2iTevNzQeJ9e79j', '6NgNZoRoJYR3h6LaZ', 'QWzjoT2LF8kgtLjC8', 'f3iK4xRBDpmJ8eHgd', 'j8sydttQE8apiheek', 'Be2jHtbPir9SrQdpi', 'Ho4eJMZppm87NvQjC', 'HBhcbeoGWqSzwHDgq', '2u3JjLAqANNhYCr6j']"
9jPK8KBWzjFmBx4Hb,15,"['gDAzKFP5ivjJEzAJn', '9Hv57dypRrFywLCd9', 'tYwPvm4gZ2a3YkuhZ', 'yPX6waxLe2efSy7xt', 'JW22X9yEG6Rk5JMHQ', 'F9euQ3mgSzHBNHsvk', 'JyKdqmSJ3iADZZAWc', 'LPptqCQYEE8pYFPNG', 'ak3NnGCYf9tQLsD49', '8bBYks7d6frM2KvRb', 'r3aytxTzdfG33oLoN', 'Eot6zHz7fhFXvWnAe', 'NRDbtkjCxgZL5DgDT', 'H7CBaTGwC5XieLJdM']"
9jPK8KBWzjFmBx4Hb,9,"['HNo7XaytNhgfEeyXx', 'v294wYGMsNjzjQrvQ', 'aDd9mj4oEpZ5nx4hL']"
9jPK8KBWzjFmBx4Hb,4,"['joNHsMmyE4BibxrdT', 'ggLDkPyvAiDv4tXnW', 'Q87XCSt58D4k9xvj8', 'WdQwsEHHybNQGEQmz', 'aJi4rrR3NPkr5sMFD', 'm3qED7ghmpdpKTaX8']"
9jPK8KBWzjFmBx4Hb,3,['HwGpPWmBePAmpri2Y']
9jPK8KBWzjFmBx4Hb,7,"['LXQ6jMxX7XHAiekEr', 'vfTk2vBSu5qTmaRaT', '28sfjMt6pYJq9yMjG', 'stEb3ubYdTc2PA3Wk', 'RRC5EvnTKvtiBSksF', 'QwSWgwX9RXehyuXTu', 'GLtxrFwpNBMppweeC']"
9jPK8KBWzjFmBx4Hb,8,['M2YobGHG7oo29MwSA']
9jPK8KBWzjFmBx4Hb,0,['bH4Dj6hAETin9mBc2']
9jPK8KBWzjFmBx4Hb,18,"['h9YPs7E5r3KbhoAZP', 'LHfYAHnTqGKMCsbu2', 'q2nWGdxwMtHJFychk']"
9jPK8KBWzjFmBx4Hb,19,"['tPmrgGwQt6cbebJw9', 'hmNNZBzmEnpmwNxbn', '2dRLgi6zSCpvJhzA4', 'PjjK6tBuzMnJWjdMh', 'TfLHJRLYbRYHMBfFK', 'A5bAY7qSJhijuucpo', 'LEYxiEGCkfD9i4yML', '7QeF56MHmf2j78Kch', 'qi5GQJ55kNkRACEE7', 'MEX54YXZZ7MyogQYj', 'G6orGemBdZAkYe4Dr', '9fm5gvWbokWhpBKqB']"
9jPK8KBWzjFmBx4Hb,17,['tCbsKQ49P6twsLzwm']
9jPK8KBWzjFmBx4Hb,11,"['KHEJXiAB5F5Ng7GgJ', 'PXLGmdj3jZNta8KhK', 'rFL2nXx2oR5FjPh2n', 'MeLxNDMvBnSkzRExC', 'KyJ6s2hNnrzkfoHWa', 'huzh8jf7rP7hg7LND']"
9jPK8KBWzjFmBx4Hb,4,"['sGpfzDwswMukrqTwM', 'oMwvgbeF286cfSQAA', 'umgA9x49Xqg6MFWMs', 'tuzey5LNStpmYaELE', 'R3vRxo3AZ5pQoaz8n', 'BWjZMMgPCKCQykWLR', '3hPThCnJk8nwgse3u', 'ns82SNAfv5vrHogsq', 'FbKvPqPgQ5g46u5y3', 'GSEWDH6ou9Lur3pNE', 'kFQjkKGqXjAHai2vH', 'P8MT2v8JEhen5vknt', 'dSd8kR2G8Q9TdxCcS', '3NZdcvJZFax8MeSwC', 'AvWTwyyCYHBrzeDLM', 'BkSbLzmA3ZGYRjcP2', 'g59yQxfy48FxcmEXE', 'vHy3K3ARdcMtZngZc', 'Gav26jB5FSx7yQSHZ', 'qCXykJBTfsLPXbRdz']"
9jPK8KBWzjFmBx4Hb,0,"['dKEZmi6fLwigwSqCu', 'waXXhgPZ4CYhAqtue', '8JZWoNDSrQ3PXdeGq', 'eRPq4WFCD3Fj9pSi6', '4dfoKz92bcck6Srua', 'w8o27DpzrEsPQ2oS6', 'rAiA5uctu3iXcLN4Y', 'dKR4bsFMdsgKbAYDZ']"
9jPK8KBWzjFmBx4Hb,1,"['TPsxWmXSNEsc7wiyM', 'R4LjemyeFhKD8Q5h5']"
9jPK8KBWzjFmBx4Hb,2,"['fchorkFRcyukM46s5', 'DttMkdC55a3zn3JbM']"
9jPK8KBWzjFmBx4Hb,3,"['9LHrQWw9h3m8SpcbX', '4JHQyzHAkE89xLMfn', 'wTgYgFwT6zYWxYxur', 'wmYg29YhTsX9vAi3W', 'Diob2JCh9yei4Cp5J', 'bnduceBFB6W2TSG4B', '9GxamuCyKHJ2Zzi6Q', 'y9mfqBpzmNJ53w6Bn', 'KmmocWuPPzhE3NmfY']"
9jPK8KBWzjFmBx4Hb,4,"['PXHT7HqkpcvZ3WbJd', 'XMWgYAQTiB4LXkAtn']"
9jPK8KBWzjFmBx4Hb,5,"['Kw9iqgge8aAj8vHx7', 'JsR9gbeqD5oKQk7xy', 'X6QsYgvdbc4P4754C', 'yRworpgXpcizd7hdw', 'vdYP6eJ6hodqbaedX', '9EDoWgh7D6pz2x6uG', 'rHh8ph9Dqda3AT6ZL', '8rCG3b5KtEHioq3Ek', 'Hg3SaDNqMc3uSXY64', 'TiL8ZRzm9iNF9dCyH']"
9jPK8KBWzjFmBx4Hb,6,"['ESSnn82eDaKJk2bnp', 'MbNtxsHknDPd3Mpc3', 'f4NhAP4kXLwz5NDLr', 'v654giz9YehdoCDCA', 'g4ezrHCZ8qoGhBPyM', 'b2i9HZdkf3HedkmNx', 'ccjxSTpicMzcQJssZ']"
9jPK8KBWzjFmBx4Hb,7,"['4ZnhPspD8dkzqwdmz', 'QsGhbmqzdRXfFjBNo', 'z838wA28tFe9WYbLT', 'ix6v7CieKPmo2ma4p', '9QzZgydoqvYb4eEcD', 'bz8kyyNSSZLfdDsdN', 'rzDsJSnkD4eK3T492', 'WqQ4vxJgvz2TbedhP', 'S8fNbPB6tXagEr9Tz', 'ixHG3iTs9iyyc4dE5', 'jMHNBRALXsRT4ymTq', 'aGxhN8qufG766zoQb']"
9jPK8KBWzjFmBx4Hb,8,"['9jTJusYPoX3nrufDu', 'xPBXWd5vNipDjy3eB', 'fikv7uDEZE9i6irwo']"
9jPK8KBWzjFmBx4Hb,9,"['X99RuKqgzRS6JsJBp', '7pjtAZvmCFmddJ26b', 'c5vmXBGaGPGqKSWPR', 'msrLeDn3DpAvftT8n', 'AKaF6n2H2BgqyLrR3', 'B3TcLpqzsgAqswZef']"
BGnWsiJhqWwaYPo7G,12,['Tw8uaZowbSCotoCdD']
BGnWsiJhqWwaYPo7G,13,"['kREWhbFSiix6PdywD', 'xk4jpRHNJ6vsBo4kT', '6vw72bG6JCNhxeDcR', 'EyXPLRr5k34BYxAwf', 'CPvbP4sLgBBrznYYr', 'deXZJNB9Cozmsm6dH']"
BGnWsiJhqWwaYPo7G,14,"['jWNmtr7QTDhvWzaHd', '87DM32y6RwznYibg8', 'ja5Qj9xqCbriHafkS']"
BGnWsiJhqWwaYPo7G,15,['arZ5w452ntPPhdQsF']
BGnWsiJhqWwaYPo7G,16,"['C2WQS7Q5isAXBacMt', 'gNdhwwqExekz3Jt8i']"
BGnWsiJhqWwaYPo7G,17,['Ym7SGD3bMh7isWsnR']
9jPK8KBWzjFmBx4Hb,11,['PPEsvXnyf76pfsv9Y']
9jPK8KBWzjFmBx4Hb,0,['XBNRx4SMF3tZxSm4P']
9jPK8KBWzjFmBx4Hb,1,['CG9cP7gFQdazQCpPi']
9jPK8KBWzjFmBx4Hb,2,['osM7SzcYe9zAKyRMD']
9jPK8KBWzjFmBx4Hb,3,"['asCyCG8ThfYbBcN8h', 'HJuDCX3Zj4dbkpd9m']"
9jPK8KBWzjFmBx4Hb,4,"['oTvgvW8Fp2L5gzcgw', 'NQzpAxQWc2bepoeu5', 'Pn7B9zR5eY8hh9yAr', 'HAKsJPTPXRKii7Q2n', 'RGtG74SB8idByL8mJ', 'P9bdxK3yoDg4gXAjH', 'MRAe5B6FA3KGt9vrG', 'n8rWovppqXekuSBi2', 't28JH3vNGRjpihgcQ', 'QYaxgZQ5ZhGNoLnJf', 'X27W7EoiYrirNcgNb']"
9jPK8KBWzjFmBx4Hb,5,"['pqDfjntRuvfHHx5Ba', 'xDp77aXibiM3u9ddq', 'BGdSxexzyD7KHzjcQ', 'HeSnqHNDLE4oqPgRn', 'uGhdyCPZqoQYjtk2g', 'Ddnf7PDQ4T8wJSYvW', 'CM7uFrKxPxjtKJLbK']"
9jPK8KBWzjFmBx4Hb,6,"['5iCnGWSM3xFKenvyH', 'sZ6K4wWHzvzmr83og']"
9jPK8KBWzjFmBx4Hb,7,"['45uZoyFEhKfsxB6JF', 'L2WaadjfyEv7qsAt4', 'GAFXr9NPRpEvWCWot', 'G8HajbvgtAHKtHRdq', 'XddQZbFdfBWa9zw5c', 'Sw8FjtauH6sHNjyE3', 'zF5nyeBH7Bpt3CEzS', 'wNPNhBGuWz6D2wcLH', 'vGxiDtwcfwQtkgmy5', 'vdXvCbMtfdmETZSyN', '44LMNyXGF8Xu6iwT5', 'BHXQdndTfPtsX44tA', 'tP4wF8dBkyEAcgo88']"
9jPK8KBWzjFmBx4Hb,8,"['b6XnWtBTrYvKjxNGs', '4qRdrz9S7o8HTkukc']"
9jPK8KBWzjFmBx4Hb,9,"['Ro4QjwgsZMwCFz82c', 'jxz3foXxTf7E8yf8M']"
9jPK8KBWzjFmBx4Hb,10,"['57TuLfdtDJDrsFDiP', 'B9tiHx7sZbEqP9RAt', 'NQNG8L8WtoyJfgL3Z', 'qqKZTX43JcQjFkKaB']"
9jPK8KBWzjFmBx4Hb,11,"['BeZtp5eLGcpk8P6Wj', 'fmeqCuNhQvptMQZdX', 'hyPJWiY8ZDMEqA6ri', '9C7u46fpgR7AvwbsX', '5cpZPWQsRTTx7qfbv', 'qYkzwyTXRoJ3msF6J', 'rWjvRZBER5MKFt6or', 'CDtsrfQvkdNkFQdRZ', 'hGWrydbrBGkFrLx6a', 'Hdxsz5pgKHDubyqa6', 'QqtfZKuN9qtiuZG9L']"
9jPK8KBWzjFmBx4Hb,12,"['ezsiDvnTMwwFgD74m', 'F7owei4fZuu68NJf6']"
9jPK8KBWzjFmBx4Hb,0,['NGqY3dnG2Nv6yThbX']
9jPK8KBWzjFmBx4Hb,1,"['KTk2dCuBFy2eXqtcg', 'TmzFntZFh6AGFxBwx', 'bjTbQdwn8fa4bahFb']"
9jPK8KBWzjFmBx4Hb,2,['eB4ELgfC7M9fiCLD2']
9jPK8KBWzjFmBx4Hb,3,"['eQCDRoFTv5jMzEvvX', 'miYv24Ffcy7HQ4Bzu', 'LjdPRkfuHfKGmxkNS', 'dJD8xGC5PrRAn9aTY', '3bejoPotCEfEpzwai', 'MfvcoqdHcg6PRZwZt', 'L4i3Nn9oCmdLRzRnj', 'RSBCZhvpSphkte2tp', 'Hxi5AZnLWnsagfAxE', 'y2gLk6FuZsmsP8ZH9', 'XkpEcBmqmHmxXqTEw', 'e8ivcA9jvkF7k8f5o', 'TuwaxqAH9GK9LsaF6', 'mzeWk2succAoNC9Gr', '42YNTimfKModwcv4s', '34xYtTLtnbgbLS8c9', 'dRuNdHM6sX49QRQLR', 'm9HZE2fZt9WwXrsGe', 'S6tdcgLrMGeG2fuPQ', 'x7BFd8HTPFjAtR9pZ', 'D78Gv4pcsfwauwr83', 'PtoYj87odL3tCBaSR', 'kMdmENNXhPYswkJTc', 'zgSgegLAsP7adpdqY', 'yktrwS4f8QN5WMhc9', 'LoLaWCCtkJwqkfgCN', 'mc5XA7uwkev8rsKxi', 'swtnekqXM4JjrXbXW', 'XGCzDny6ovC7W66dy', 'BNMArEkk7dKxtZpkv', '5bPBiiAbs9NaSNp3u', 'ZScuhjsjH8DCo4q2c', 'ZurSqtJuT6xtLaskf', 'PMNMXxu3qRtQkt8GQ', 'HD72y2tn8ZH8jDPsN', '2vKd5DAkFNnF7dMcX', 'Xq69gGZj3JSQr2zbq', 'qvqhWTeAMposBM75p', 'iddssJWXoRPkeDBPX', 'v9vmPb7ammvNoPffL', 'BiE3qoonDPZxf2XT6', 'z4d9b5Au7MANzZmzx', 'XiCvwnSbu9Gx2jsrx', 'gLCf8g2akCNmSHf7Z', 'GToptnowxiKXS6mgj', 'djDkYfZvCttpjvtWg', 'T6i8EK9ZjPHeK9ejc', 'AxfAmLCMgudXhr2L8', '9jL6M89EguhkkR7tA', 'JcJM9hYsvqu5GNwoD', 'r6SSQM23E4R6yHagq', 'rXe8LAGK9tYabj6rs', 'JRRZsr7e6CbLYSy9m', 'hSsMTocPF5z3MffvS', 'cqXwX9nTkzb2q5s57', 'ncxB7SoEZQGhkAzAf', 'M8HEkB3ty3qdc5QSi']"
9jPK8KBWzjFmBx4Hb,5,"['ZLKBeTcrTp8CWeyvj', 'LfTgXYhskYLbkio8m', 'ZmxoWrbQ7Jno8KfCc', 'vRczvbZ2gyMmWBAKb', '728qmKmA9icPZ2EJj', 'hXqpmebzzd2k5gNvX', 'pqpxnQr82vsbPPjZW', 'ADnfX7g7oF67K4vJb', 'FAfETFoByJp9ick6F', 'wMuQiqnKJru8rqRJ3', 'tPgHFAzPMzZGpz7uc', 'FuruMzFm4Q8KtzAiS', 'NYAHHFeYWQk5xL9eA', '4K2njbjy5s5J28jcp', 'JfkmRrAL3DcSHDwhS', '4AGK2wqRcR3fn34JC', 'GTwjEuf3PNELpeMiY', 'jPiNt6kHYLKY4H9Qf', '5qLSTKWo9tJRNrWY7', 'gnFoE9QfWSa9jMSwL', 'afbgGFbSHDtr24NzN', '9fQgCeDT4x4Gd9Add', 'NFp4o2sEa2RMBmNA7']"
9jPK8KBWzjFmBx4Hb,4,"['ZNhNygntiCocry692', 'FQucdRZ3hwnrWwjh6', 'j9bN966QXwWxMHcJi', 'XW9HrDRZF4yM4iCc6', 'dYt2fdQT3wd54qYD7', 'eeQvcyhYvEmTnacW3', '5vGqACq5HjZGvfjTD', 'LWmfjQ4cEowqTKWvh', 'raRXFvyofGywkbS5s', 'zWXsHz9nWfcZcZnSF', 'QF2KMMesZYfdc4Cfi', 'yzRDXBSyYFmEYwtrq', 'vpPyagBCyBg3N4EWT']"
9jPK8KBWzjFmBx4Hb,6,"['3tL4CiuNNX5Eqf2u6', 'z3DKp46vnJid2FDua', '4Pmes9cbJCL6coFit', 'oggr4hLQ5YZBtBZhb', 'F4KvQH5yN49NhZHHk', 'J9uasp5Xb2aEnb3iC', 'TDWTwQscxWWntWyRb']"
MdZs9uee25QgFwvi7,0,['GR3gHn8yGEGzBBs2R']
MdZs9uee25QgFwvi7,10,"['4pzNyA8WGbkL8Pque', 'ab9pPjEXdK9bkxXxC', 'yrCEXoaziKN6ZyacN', 'MdqsZM8mDYsMvxzds', 'tEuRR5wpsARHc9zqv', 'y4ushMnhdF8crc88W', 'dNRJLqZ2XHpagPXhL', 'TzfWPiW37mfyd7j5X', 'x7mivsc8DzBFGmXAY', 'DcXTqWsL8WzbRTEms', '6oGgFgnDTc5ecK6k8']"
MdZs9uee25QgFwvi7,11,"['mtnCePAxwkfjYyKRi', 'jN5Kf6hBhF4XFQfHB', 'mMBQBHkLB9cbNncvz', 'qGHKAkikk68BYnGMw', 'XSLWndYgpaqxKFSi7', 'kScqSb224cKjmi7vN', 'DxEyQKAQZpWYg4HuP', '2spJpP9XvE7s3rFo8', '8LB8dF8g85LjQpCGh', 'TMfyk88J5EYF3AoiC', 'qc8g8JxxRi35MTvGX', '38aWjvGCon5TxaBeC', 'axGqH2DkExeNKs27B', 'ipADGtxxtB8mWsZTW', 'hK59jnYbjZm4MQnEE', 'fnJzrrpcj6umPDv5Z', 'XeXKoQ3nY2ozkQfQ6', 'ywBcSd7vLhuWTt7ZR', '7X2Xf9szSKcpPz6mQ', 'LwoG2GydxupuQWqde', 'bCuL2wqJK9khxz7Pr', 'XwMSGNFsTL28KgBMz', 'feAqeidonnHemeEiG', 'ZP9AHoR2ZtASjF5dS']"
MdZs9uee25QgFwvi7,12,"['QxzuNvMxDBYNeyHKc', 'SMmzCc8j46DAZBeYL', 'xJ6SY98p37arvMdoh', 'rDqmTGno9Z7wNEcoX', 'pbBfBmE6GKvGD9hBS']"
MdZs9uee25QgFwvi7,13,"['7tqnnGZk9EJLLFYjk', 'TtxjZqhRvrdGLqm9k', 'Mvs6wMcLjoAWBKNpG', 'rdPyAukid2mcjS5nM', 'zxsn5B4352rTkPKpn', 'LGCzHbCd8fQJ6adPf', 'HtbiC6ThhJSZgQB4s', '8nfajn8gYg7H6426r', 'g3GQr2Se2b89oMNaH', 'gTGuowAsSBK7PLWDj', 'jYppRZeXAAzwTpW2H', '8x4Shj67PijTgxgsn', 'fEFWjHMDXyJXJaGzS', 'ZJW7w7mkFfHzSnhxQ', '6kgs78upr5uFEsRwT', 'fFCBZjwHP6kut5sDQ']"
MdZs9uee25QgFwvi7,14,"['rGQbKM57KDQSc9tMe', 'zP4YxfTijqHd9YycN', 'Xw6NaXsW9gxfR5m9B']"
MdZs9uee25QgFwvi7,15,"['BzcvAcvfrGPHicSjB', 'qJPBWpRT8PtatjuTm', 'wLqjoJssRqJ3nymxr', '6DT8oZjfkemKShrD9', 'FPXLXyapPzPAKbBnM', 'Ygu939Mf6W9zDPqMz', 'xxfStMNvsEw6WQcTn', '58S5bKtyvxXJQttT5', '8Wnfi7Te33BxXBbPr', 'rM7encnZLKMedjwW4', 'iRx43jwbA8r8i3Czs', 'tX8KRM22NLQdtNnEQ']"
MdZs9uee25QgFwvi7,16,['dh5EopQqbBQ7tevYE']
MdZs9uee25QgFwvi7,17,"['MsJdJknAuudPnL2Mw', 'abiy4kr84tdGuKJur', 'JCzZ6wk2sT4vGj86e']"
9jPK8KBWzjFmBx4Hb,14,['xiJ9ipczDBYRLXMum']
9jPK8KBWzjFmBx4Hb,4,['xbHRZKtEEX6ECdL7Z']
CxtWguApz2FZXvyAM,2,['qq5vmuizcZSbgSSKt']
