derivation_chain,status_chain,halstead_difficulty
"['7576', '7577', '7578', '7579', '7580']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[11.5, 12.176470588235295, 12.176470588235295, 13.823529411764707, 13.529411764705884]"
"['7582', '7583']","['PARSEERROR', 'SAT']","[17.794117647058822, 18.11764705882353]"
"['7591', '7592', '7593']","['PARSEERROR', 'PARSEERROR', 'SAT']","[26.0, 26.0, 26.0]"
"['7725', '7726']","['PARSEERROR', 'SAT']","[25.63888888888889, 24.916666666666668]"
"['7287', '7288']","['PARSEERROR', 'SAT']","[5.5, 6.857142857142857]"
"['6957', '6958']","['PARSEERROR', 'SAT']","[14.399999999999999, 15.0]"
"['6960', '6961', '6962', '6963', '6964']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[18.125, 18.125, 18.125, 18.75, 20.3]"
"['6975', '6976']","['PARSEERROR', 'SAT']","[14.142857142857144, 12.857142857142858]"
"['6957', '6958']","['PARSEERROR', 'SAT']","[14.399999999999999, 15.0]"
"['6975', '6976']","['PARSEERROR', 'SAT']","[14.142857142857144, 12.857142857142858]"
"['6975', '6976']","['PARSEERROR', 'SAT']","[14.142857142857144, 12.857142857142858]"
"['6975', '6976']","['PARSEERROR', 'SAT']","[14.142857142857144, 12.857142857142858]"
"['6991', '6992']","['PARSEERROR', 'SAT']","[1.3333333333333333, 2.25]"
"['7920', '7921']","['PARSEERROR', 'UNSAT']","[11.428571428571427, 11.428571428571427]"
"['7983', '7984']","['PARSEERROR', 'SAT']","[28.846153846153847, 22.27027027027027]"
"['7988', '7989', '7990']","['PARSEERROR', 'PARSEERROR', 'SAT']","[26.35, 26.35, 21.599999999999998]"
"['6975', '6976']","['PARSEERROR', 'SAT']","[14.142857142857144, 12.857142857142858]"
"['6991', '6992']","['PARSEERROR', 'SAT']","[1.3333333333333333, 2.25]"
"['7850', '7851', '7852']","['PARSEERROR', 'PARSEERROR', 'SAT']","[76.44, 65.89655172413792, 68.25]"
"['8036', '8037']","['PARSEERROR', 'SAT']","[9.444444444444445, 6.222222222222222]"
"['7995', '7996', '7997', '7998']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[23.0, 23.0, 23.0, 24.5]"
"['8000', '8001']","['PARSEERROR', 'SAT']","[28.09090909090909, 24.5]"
"['8011', '8012', '8013', '8014', '8017']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[22.5, 22.5, 22.5, 24.0, 25.95945945945946]"
"['8021', '8024', '8025', '8026', '8029']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[16.52857142857143, 24.0, 24.0, 24.666666666666668, 21.857142857142858]"
"['7699', '7700']","['PARSEERROR', 'SAT']","[4.5, 4.714285714285714]"
"['7702', '7703', '7704']","['PARSEERROR', 'PARSEERROR', 'SAT']","[14.333333333333332, 13.363636363636363, 14.36842105263158]"
"['7714', '7715', '7716']","['PARSEERROR', 'PARSEERROR', 'SAT']","[18.25925925925926, 18.25925925925926, 18.634615384615387]"
"['8031', '8032']","['PARSEERROR', 'SAT']","[4.961538461538462, 5.125]"
"['8034', '8041', '8044']","['PARSEERROR', 'PARSEERROR', 'SAT']","[13.548387096774194, 4.961538461538462, 5.16]"
"['8047', '8048']","['PARSEERROR', 'SAT']","[15.0, 12.767857142857142]"
"['7287', '7288']","['PARSEERROR', 'SAT']","[5.5, 6.857142857142857]"
"['7287', '7288']","['PARSEERROR', 'SAT']","[5.5, 6.857142857142857]"
"['7632', '7633']","['PARSEERROR', 'SAT']","[6.214285714285715, 6.0]"
"['7637', '7638']","['PARSEERROR', 'SAT']","[10.133333333333333, 12.0]"
"['7639', '7640', '7641', '7642']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[13.2, 13.2, 14.375, 15.333333333333334]"
"['7645', '7647']","['PARSEERROR', 'SAT']","[20.0, 20.0]"
"['7648', '7649', '7650', '7653', '7654']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[22.4, 22.4, 22.4, 22.125, 24.266666666666666]"
"['7656', '7657', '7658']","['PARSEERROR', 'PARSEERROR', 'SAT']","[22.34375, 22.34375, 22.4]"
"['7661', '7662']","['PARSEERROR', 'SAT']","[24.0, 24.0]"
"['7669', '7670']","['PARSEERROR', 'SAT']","[28.875, 27.75]"
"['7672', '7674', '7675']","['PARSEERROR', 'PARSEERROR', 'SAT']","[29.6, 30.4, 30.4]"
"['7680', '7681', '7682']","['PARSEERROR', 'PARSEERROR', 'SAT']","[32.5, 32.5, 32.09375]"
"['7699', '7700']","['PARSEERROR', 'SAT']","[4.5, 4.714285714285714]"
"['7702', '7703', '7704']","['PARSEERROR', 'PARSEERROR', 'SAT']","[14.333333333333332, 13.363636363636363, 14.36842105263158]"
"['7714', '7715', '7716']","['PARSEERROR', 'PARSEERROR', 'SAT']","[18.25925925925926, 18.25925925925926, 18.634615384615387]"
"['8154', '8155']","['PARSEERROR', 'UNSAT']","[15.272727272727273, 15.75]"
"['8157', '8158']","['PARSEERROR', 'UNSAT']","[15.757575757575758, 15.757575757575758]"
"['8159', '8160']","['PARSEERROR', 'SAT']","[15.757575757575758, 15.75]"
"['7287', '7288']","['PARSEERROR', 'SAT']","[5.5, 6.857142857142857]"
"['8408', '8409', '8410', '8411']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[29.058823529411764, 29.058823529411764, 33.44444444444444, 30.205882352941178]"
"['8128', '8129', '8130', '8131']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[24.145833333333332, 22.875, 43.04, 29.984375]"
"['7287', '7288']","['PARSEERROR', 'SAT']","[5.5, 6.857142857142857]"
"['8296', '8297', '8298', '8299', '8300']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[31.06451612903226, 31.06451612903226, 31.06451612903226, 31.06451612903226, 21.69642857142857]"
"['8301', '8302']","['PARSEERROR', 'SAT']","[31.06451612903226, 21.69642857142857]"
"['8345', '8346']","['PARSEERROR', 'SAT']","[8.0, 10.0]"
"['8347', '8348', '8349']","['PARSEERROR', 'PARSEERROR', 'SAT']","[14.181818181818183, 13.636363636363637, 21.0]"
"['8219', '8220', '8221', '8222', '8223']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[21.142857142857142, 20.121951219512198, 20.121951219512198, 20.121951219512198, 3.6666666666666665]"
"['8225', '8226', '8227', '8228', '8229', '8230', '8231', '8243', '8244']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[22.543478260869563, 21.511111111111113, 21.511111111111113, 21.511111111111113, 21.511111111111113, 21.73913043478261, 21.511111111111113, 21.511111111111113, 14.341463414634145]"
"['8245', '8246']","['PARSEERROR', 'SAT']","[21.511111111111113, 14.341463414634145]"
"['8303', '8304', '8305', '8306', '8307', '8308', '8309', '8310', '8311', '8312', '8313', '8314', '8315']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[30.375, 32.0625, 32.0625, 22.857142857142858, 22.857142857142858, 32.0625, 32.0625, 22.857142857142858, 22.857142857142858, 22.857142857142858, 22.857142857142858, 22.857142857142858, 21.69642857142857]"
"['8413', '8414', '8415', '8416', '8417', '8418', '8419', '8420', '8421', '8422', '8423', '8424', '8425', '8426', '8427', '8428']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'UNSAT']","[72.54545454545455, 72.54545454545455, 72.54545454545455, 72.54545454545455, 68.18181818181819, 72.54545454545455, 72.54545454545455, 72.54545454545455, 72.54545454545455, 72.54545454545455, 72.54545454545455, 72.54545454545455, 69.0909090909091, 57.86363636363636, 50.95454545454545, 44.04545454545455]"
"['8219', '8220', '8221', '8222', '8223']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[21.142857142857142, 20.121951219512198, 20.121951219512198, 20.121951219512198, 3.6666666666666665]"
"['8225', '8226', '8227', '8228', '8229', '8230', '8231', '8243', '8244']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[22.543478260869563, 21.511111111111113, 21.511111111111113, 21.511111111111113, 21.511111111111113, 21.73913043478261, 21.511111111111113, 21.511111111111113, 14.341463414634145]"
"['8245', '8246']","['PARSEERROR', 'SAT']","[21.511111111111113, 14.341463414634145]"
"['7390', '7394', '7395', '7397']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[7.2, 7.2, 8.0, 9.0]"
"['7452', '7457', '7458', '7459']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[44.199999999999996, 44.199999999999996, 39.65, 39.65]"
"['7465', '7466']","['PARSEERROR', 'UNSAT']","[44.199999999999996, 47.6]"
"['7529', '7530']","['PARSEERROR', 'UNSAT']","[47.6, 47.6]"
"['7531', '7532', '7533', '7534']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'UNSAT']","[47.6, 47.6, 47.6, 47.6]"
"['7542', '7543']","['PARSEERROR', 'UNSAT']","[44.199999999999996, 44.199999999999996]"
"['7546', '7547']","['PARSEERROR', 'UNSAT']","[46.9, 46.9]"
"['8504', '8505', '8509', '8515', '8520', '8525', '8527']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'UNSAT']","[69.0909090909091, 69.0909090909091, 64.77272727272728, 63.0, 63.0, 63.0, 63.0]"
"['8219', '8220', '8221', '8222', '8223']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[21.142857142857142, 20.121951219512198, 20.121951219512198, 20.121951219512198, 3.6666666666666665]"
"['8225', '8226', '8227', '8228', '8229', '8230', '8231', '8243', '8244']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[22.543478260869563, 21.511111111111113, 21.511111111111113, 21.511111111111113, 21.511111111111113, 21.73913043478261, 21.511111111111113, 21.511111111111113, 14.341463414634145]"
"['8245', '8246']","['PARSEERROR', 'SAT']","[21.511111111111113, 14.341463414634145]"
"['8219', '8220', '8221', '8222', '8223']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[21.142857142857142, 20.121951219512198, 20.121951219512198, 20.121951219512198, 3.6666666666666665]"
"['8225', '8226', '8227', '8228', '8229', '8230', '8231', '8243', '8244']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[22.543478260869563, 21.511111111111113, 21.511111111111113, 21.511111111111113, 21.511111111111113, 21.73913043478261, 21.511111111111113, 21.511111111111113, 14.341463414634145]"
"['8245', '8246']","['PARSEERROR', 'SAT']","[21.511111111111113, 14.341463414634145]"
"['7287', '7288']","['PARSEERROR', 'SAT']","[5.5, 6.857142857142857]"
"['8432', '8433', '8434', '8435', '8436']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[27.63157894736842, 29.166666666666668, 29.166666666666668, 30.88235294117647, 32.375]"
"['8219', '8220', '8221', '8222', '8223']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[21.142857142857142, 20.121951219512198, 20.121951219512198, 20.121951219512198, 3.6666666666666665]"
"['8225', '8226', '8227', '8228', '8229', '8230', '8231', '8243', '8244']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[22.543478260869563, 21.511111111111113, 21.511111111111113, 21.511111111111113, 21.511111111111113, 21.73913043478261, 21.511111111111113, 21.511111111111113, 14.341463414634145]"
"['8245', '8246']","['PARSEERROR', 'SAT']","[21.511111111111113, 14.341463414634145]"
"['8219', '8220', '8221', '8222', '8223']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[21.142857142857142, 20.121951219512198, 20.121951219512198, 20.121951219512198, 3.6666666666666665]"
"['8225', '8226', '8227', '8228', '8229', '8230', '8231', '8243', '8244']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[22.543478260869563, 21.511111111111113, 21.511111111111113, 21.511111111111113, 21.511111111111113, 21.73913043478261, 21.511111111111113, 21.511111111111113, 14.341463414634145]"
"['8245', '8246']","['PARSEERROR', 'SAT']","[21.511111111111113, 14.341463414634145]"
"['8479', '8480']","['PARSEERROR', 'SAT']","[17.837209302325583, 17.837209302325583]"
"['6991', '6992']","['PARSEERROR', 'SAT']","[1.3333333333333333, 2.25]"
"['6997', '6998']","['PARSEERROR', 'SAT']","[8.0, 9.333333333333334]"
