derivation_chain,status_chain,halstead_difficulty
"['9jTJusYPoX3nrufDu', 'xPBXWd5vNipDjy3eB']","['PARSEERROR', 'UNSAT']","[8.0, 9.0]"
"['msrLeDn3DpAvftT8n', 'AKaF6n2H2BgqyLrR3']","['PARSEERROR', 'SAT']","[11.666666666666668, 8.0]"
"['2f29sgfe2uzp45uG4', 'fepXAMsWP49rRAR74']","['PARSEERROR', 'UNSAT']","[8.333333333333334, 10.0]"
"['aX2LvhvNxFCooofgc', '4B3HwzsKWAbeCvJK3']","['PARSEERROR', 'SAT']","[11.666666666666668, 10.5]"
"['7AusT6oP3E4Mp66Nr', 'kN6bHcKYpNmgkdBzE']","['PARSEERROR', 'UNSAT']","[9.0, 9.0]"
"['BhBWjiLh23kcC2hFW', '4TtWd7GkB3CAbeYNs']","['PARSEERROR', 'SAT']","[9.9, 8.0]"
"['JfLwHHpus4HngvudT', 'X6a4Q7Gsmwrw33Cqo']","['PARSEERROR', 'SAT']","[10.4, 12.6]"
"['rMbrEx6xhRhGhthFB', 'nP2ArmfMeLvNNr3D2']","['PARSEERROR', 'SAT']","[14.0, 12.833333333333334]"
"['6cp94qow67CDQtLB2', 'hPDkzHubTxZc8dZ5e', 'Hf8HNgapoTjeLKWQ2', 'egK8Tu8eHm3at957J', 'gDLM4xqZZCmNs577N']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[12.833333333333334, 12.833333333333334, 12.833333333333334, 12.833333333333334, 12.833333333333334]"
"['bkAysrMs68YnaPwN2', 'WDiepwABYDYCy7Moa']","['PARSEERROR', 'SAT']","[10.833333333333332, 11.666666666666668]"
"['Rad8rJh4N3ZFN8Eeu', '47mgLzWR88pbRYvQg']","['PARSEERROR', 'SAT']","[8.0, 8.0]"
"['NQKWMEkBz5baB6qFP', 'KuarZoJyGhqLTkWS7']","['PARSEERROR', 'UNSAT']","[8.0, 8.0]"
"['koptRxpMsCh9Tt2yv', 'ERT5kFfK6ZqMGbY5A', 'XmWvrMuMGuPikf4wY', 'QDC93LqrJFso4C7Sz']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[8.0, 8.0, 8.0, 7.2]"
"['aPTrdLZnwPhfBrrmR', 'NNZYx2HufY4Kh4nsg']","['PARSEERROR', 'UNSAT']","[10.5, 8.0]"
"['QnuPGXGFSYooSdE6K', 'jyqjLhaF6d75KTGEo']","['PARSEERROR', 'SAT']","[7.0, 8.0]"
"['k8WGeiqrWZ98Q7BA2', 'xCwKRhhwcSafdXQER']","['PARSEERROR', 'SAT']","[7.0, 8.8]"
"['8Xg54Znk5zygoGY3x', 'hDRk9T7dKBW28g5As']","['PARSEERROR', 'SAT']","[7.0, 8.8]"
"['NMmsfG4XX8tqEEvwe', 'eEysM9dgSQaCgZRZ9', 'L4rzz7DZGxysaXrmR', 'cBqRri8nZR6NoNwWb', 'mXiGDNPBL3GjbYnZG']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[9.9, 8.0, 9.9, 10.285714285714285, 10.285714285714285]"
"['2KQLgJXbTcgaaryzF', 'upbPZYaL4FFpray8E']","['PARSEERROR', 'UNSAT']","[10.0, 11.666666666666668]"
"['zc6ywHSYYtc3zLXJe', 'GPDqTWCdsiAcWdR4f', 'CJPWNNTBMJEC6QyK2']","['PARSEERROR', 'PARSEERROR', 'UNSAT']","[8.8, 8.8, 11.666666666666668]"
"['YX2weFnzaa3GeMzQZ', 'BjBMnkH3Dnn55jeH6']","['PARSEERROR', 'UNSAT']","[3.5, 12.833333333333334]"
"['PbcZ4LhwsvE9ECP3S', 'MewytaRm4ywtAvvgd']","['PARSEERROR', 'SAT']","[11.785714285714285, 12.857142857142858]"
"['n3RByYaFGAuoNANe9', 'P2xqxC6n7gCpRbXBe']","['PARSEERROR', 'SAT']","[6.3, 6.3]"
"['pGQ9zAmePHsEfDJ5W', '2pib5bQoZ78cXRMqE', '5iRy3JZw8Z5Zfq8c4']","['PARSEERROR', 'PARSEERROR', 'SAT']","[9.0, 10.0, 10.0]"
"['neD88GssjHGTBSuoX', 'vPMjpXBFk2Z8T56fE']","['PARSEERROR', 'SAT']","[7.2, 7.2]"
"['QGbBTmiP5XHcpYc7s', 'LFTo7D6P48saKdk3C']","['PARSEERROR', 'SAT']","[6.3, 7.2]"
"['BZhdh4xEeNQAsga28', 'jEChtiCJD2PygERFf', '4qXYPsHmu9XRpCQ33']","['PARSEERROR', 'PARSEERROR', 'SAT']","[9.9, 8.8, 9.0]"
"['Jw9QakZYEJJPws543', 'BkH6zb7Qu7yNmcSGj', 'ZS8a7hW67yFhrr4cc', 'FrxbBrBvouFuzqKse']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[11.0, 11.916666666666666, 11.916666666666666, 12.833333333333334]"
"['B3vEdA5ijeAo69fGc', 'uX9Hzm8L2SGcmHSuL', 'xjCSrr4EnAz4CvS4r']","['PARSEERROR', 'PARSEERROR', 'SAT']","[11.666666666666668, 11.666666666666668, 12.833333333333334]"
"['82tKjG8eTN3vnAxWx', 'atikX7ydPTgzjKHWF']","['PARSEERROR', 'UNSAT']","[11.0, 12.833333333333334]"
"['ZxBrA8BzhdrFTgQoT', 'WJfZbXHE7N2vQ5WnK', 'n7jDqYmcFJAMJqca4', 'wZqzMSQ8pAajPgsxZ', 'k2Gv4GmcSSHHN7unX', 'JP4e3RMuZtTroqyjp', 'qbHJsZ3WM7ghFZdzC', 'ZcbmBBzuqS5JcAtoo', 'tZdYoLXDjNDYp8SwS', 'MdnxX3CkJckgzan47']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[8.0, 8.0, 8.0, 8.0, 7.0, 8.0, 8.0, 10.5, 10.5, 10.5]"
"['GTGcqGszaQWmN8ML3', 'ZHDNMEemhjSuMzxkr']","['PARSEERROR', 'SAT']","[10.5, 9.333333333333334]"
"['6wdeWx9o5QHxKpFNL', '73jrC6Gq9mEvhAqyh']","['PARSEERROR', 'SAT']","[7.0, 7.0]"
"['AdPRJyd3Qz5p9gZHu', '2r33CcPx9twopsdvH', 'DzhprcbrcGQis3Tbr']","['PARSEERROR', 'PARSEERROR', 'SAT']","[8.0, 8.0, 10.5]"
"['QpXw3xn3oiN2uXkFi', 'JHQTRng36N8PkFDBx']","['PARSEERROR', 'SAT']","[10.5, 11.666666666666668]"
"['YGvnWscgR9yZ6rtmK', 'H4YSLohFCYukRuZxB']","['PARSEERROR', 'SAT']","[8.25, 9.9]"
"['zLfNd2hbFZXGav8AR', 'xpmAFdRmwiumsJYab']","['PARSEERROR', 'SAT']","[7.0, 6.3]"
"['KEksisn8hw3Hzrhwi', 'DqFehcyNTtAJAePaK', 'd4Qd7BAAjm9zGcXjo']","['PARSEERROR', 'PARSEERROR', 'UNSAT']","[8.0, 8.8, 8.0]"
"['ypg8PkM55icjhMk2j', 'sGKuemM2e9jGk3Ypm', 'qDPQdHpXNgW5MSfvv']","['PARSEERROR', 'PARSEERROR', 'UNSAT']","[7.0, 7.0, 7.0]"
"['56tx48SY2BMhhmgNT', 'QYr2vmXsirrMKbT7k']","['PARSEERROR', 'UNSAT']","[7.5, 9.0]"
"['j8eBHktt5ZbF8Bizo', 'RNqLpNZZugTsGgkdu']","['PARSEERROR', 'UNSAT']","[6.3, 7.2]"
"['k4nnKFjRqisTiEFRP', 'fK4sLyJgPZktWH4e8']","['PARSEERROR', 'UNSAT']","[8.0, 7.2]"
"['KuZF57qcNf8L32rfe', 'kBPmxK5c8qJqb7Qy6']","['PARSEERROR', 'SAT']","[8.1, 10.0]"
"['9HprhBDHq5TX9Axd6', 'rTBPEgkhmmEdiFtq9', 'pYKdDNhrKvSn7Copo']","['PARSEERROR', 'PARSEERROR', 'SAT']","[10.0, 10.0, 10.0]"
"['33P2RgPJ8uDwiErbh', '2uqqp8sKxx2qnapLT', 'rMWJxSoeWtsBuGvWE']","['PARSEERROR', 'PARSEERROR', 'SAT']","[11.666666666666668, 11.666666666666668, 10.5]"
"['tdByu76MajY4njqYu', 'cKu5tjFhYko5BEp6f']","['PARSEERROR', 'SAT']","[11.666666666666668, 11.666666666666668]"
"['DbZwyFhGFDropjonb', 'DG9scczEGS8indPoG']","['PARSEERROR', 'SAT']","[10.0, 10.0]"
"['RtWJWv8ueT99gWzDZ', '6bSaAaPzE5zY9JKwv', 'h7WQTTAeWDApaB4FH']","['PARSEERROR', 'PARSEERROR', 'SAT']","[10.0, 9.0, 9.0]"
"['E4Yrac9EytL9PvjQM', 'vfR6wojSATiCrCWzi']","['PARSEERROR', 'SAT']","[10.0, 9.0]"
"['vG8zTNQcNw2qR9M6q', 'ZbE54qAswcoSwggTR']","['PARSEERROR', 'SAT']","[8.0, 8.0]"
"['dN3pgeAfx7TMTjwvH', 'EdGXqKe7Nzq3oR88e', '9bxdGaxGpH28m5Y39', 'kkiqvJZNmKjaRhxHi', 'R7XheFZEoDRTwb4Y7']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'UNSAT']","[9.0, 9.9, 12.571428571428571, 11.785714285714285, 12.571428571428571]"
"['xZAdCkaBxhJgZ5inM', 'vRBhGSa6YsWmcc2H4', 'gBePbNRqoiLHaBYLp']","['PARSEERROR', 'PARSEERROR', 'UNSAT']","[9.0, 9.0, 9.0]"
"['ZxBrA8BzhdrFTgQoT', 'WJfZbXHE7N2vQ5WnK', 'n7jDqYmcFJAMJqca4', 'wZqzMSQ8pAajPgsxZ', 'k2Gv4GmcSSHHN7unX', 'JP4e3RMuZtTroqyjp', 'qbHJsZ3WM7ghFZdzC', 'ZcbmBBzuqS5JcAtoo', 'tZdYoLXDjNDYp8SwS', 'MdnxX3CkJckgzan47']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[8.0, 8.0, 8.0, 8.0, 7.0, 8.0, 8.0, 10.5, 10.5, 10.5]"
"['GTGcqGszaQWmN8ML3', 'ZHDNMEemhjSuMzxkr']","['PARSEERROR', 'SAT']","[10.5, 9.333333333333334]"
"['xsyjDD7MgKFyphxcu', '53CKKtJRb2DNZT6mh', 'ko6zp4jStE8Rs3mWb', 'dqbZcpii2hAmow6SJ', 'jjWhvy4rfuXo4p434', 'JSHv2dmKXjoagMJ3S', '4tikY4q5F4BgtqwNs']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[15.0, 15.0, 16.0, 19.5, 17.642857142857142, 21.0, 19.5]"
"['6wdeWx9o5QHxKpFNL', '73jrC6Gq9mEvhAqyh']","['PARSEERROR', 'SAT']","[7.0, 7.0]"
"['drfHwxYaJotjh682C', 'cPr6ySLKGNtfiwpzZ', 'hAQeNe2XPzBjY75Lk', 'gDrYHbd4cTFHeprbk']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[11.666666666666668, 11.666666666666668, 11.666666666666668, 4.800000000000001]"
"['RRTEB5roB2mhYiqWk', 's7xKcxTMZk2Cv6zhf']","['PARSEERROR', 'SAT']","[11.666666666666668, 8.0]"
"['jE7qxJBoSsriL2T85', 'XMx2HAxCSRY55HjNX']","['PARSEERROR', 'UNSAT']","[12.833333333333334, 12.833333333333334]"
"['3AEmKfedXioG4Sx5W', 'dmq7uExhAY4hMSmd2', 'HhhrRS9nD87uSLA2o']","['PARSEERROR', 'PARSEERROR', 'UNSAT']","[11.666666666666668, 11.666666666666668, 12.833333333333334]"
"['DGdJeR4xkQBtqRbCW', '3PZaRzrLAneRtDg8C', 'ytqLzeFLCXcLu5ACi']","['PARSEERROR', 'PARSEERROR', 'UNSAT']","[7.071428571428571, 8.25, 10.0]"
"['9encjBf5ArD662Z9k', '82CQ7EujbyRKCJGh5']","['PARSEERROR', 'UNSAT']","[7.2, 7.2]"
"['aasBNzhpaWq8KkMpg', 'rnPFRM9bvcCwjQ6cp', 'zDHtcPNduhwDzNyb4', 'EkB285FB3uePtZQG9', 'rXhpN3YfdtvwrBjGr']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[8.357142857142858, 14.142857142857144, 14.142857142857144, 14.142857142857144, 14.142857142857144]"
"['84jkW97tPLfnXkZso', '5kvEJgMCWQBdDdxBs']","['PARSEERROR', 'UNSAT']","[7.2, 7.2]"
"['giLACBMjb56ywzJ2r', 'vdLtt2kLTubMjFcmm']","['PARSEERROR', 'SAT']","[7.2, 7.2]"
"['SQSNaepPLYxGywEvq', '3uamAes4ZJN87sZ3b']","['PARSEERROR', 'SAT']","[10.799999999999999, 10.5]"
"['YXWfygSM7MJQ4ZZJG', 'wQs7wPqo6uMy8gxkx']","['PARSEERROR', 'UNSAT']","[9.0, 14.0]"
"['qdFgY9Jd7TJphGybs', 'i7xGmuMKxNo6BNoKm', '5sgXtJjrHCC8hpmz8']","['PARSEERROR', 'PARSEERROR', 'UNSAT']","[9.0, 9.0, 9.0]"
"['gBMZc8hZnas96FycM', 'YqoXdnGR7GtweaHYK']","['PARSEERROR', 'SAT']","[17.333333333333332, 16.0]"
"['2Tik99WFmWMNsNxhn', 'xi4dZ48sGus9BYahW', 'iZh6Xdpg64RMczJWF', 'dgh7mNog56RfBH2of', 'DMtBEEtTjZBvG4iqP']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[6.4, 10.0, 10.0, 10.0, 10.0]"
"['BSTdMGDp5CToT3QC7', 'm97dHydjhETrCdTZm']","['PARSEERROR', 'UNSAT']","[10.0, 10.0]"
"['m8J5DeiaSMGgGMbHv', 'HKbP9Gub23x8F2P3e', 'scTH6aaomWLfy2xzQ', 'wnCFaBL2wefciACYm']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'UNSAT']","[9.0, 9.0, 9.0, 10.0]"
"['T5cPjx23EtWCu6Ef6', 'WmbhgvYjwdWnKXWMR']","['PARSEERROR', 'UNSAT']","[8.0, 8.0]"
"['EmzxdG8GbJ2qA2SYN', 'EAXmaaGerwaY54R5i']","['PARSEERROR', 'SAT']","[8.25, 6.3]"
"['dbXaBd8dCcPpg7TAE', 'zHW9bqX7fxzJkhPHy', 'wmEvHmJuaxG6q5ZzM', 'BZvHriHS89jDCaCoL', 'iLxZtTCJdPH7tFEGS', 'F6Wv4j42nz55ieZXS', 'TQsbrG4MtCsBsD4YL', 'ZXAAX8tm5Cow4rzCx', 'Cj5Qs4SEYZ23AbftE', 'BMBK32BgYpc6CZoYh', 'CZRh9SWXAYtdYPdLg', 'PALZHQ7TcdtBpmJgW', 'ybMr8nk7yp3wm4egq', 'jTHThQGNK2KpXyviZ', 'Ezi9acqZSAC5vMSSC', 'SQubfofrYi7faQXGA']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[11.0, 11.0, 11.0, 8.25, 8.25, 8.25, 9.9, 8.25, 9.75, 9.9, 8.666666666666666, 9.0, 9.9, 8.8, 8.0, 4.800000000000001]"
"['epQ8SoffjZEs5HDxB', 'yeox3rzZEni94rF7N', 'aBQXdmcJarv4sxnjv', 'bcmbgX7ZecHAvaiEB']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[5.833333333333334, 5.833333333333334, 9.9, 6.3]"
"['Y2uxDCATc5xC7GkR6', 'ewKoamLYFD3X8hxfG', 'BgWPhTMN6QFL9t7Xm', 'Qtqtizo6pWpHDmm8g']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[7.333333333333333, 7.333333333333333, 6.416666666666666, 6.3]"
"['ZxTY9edHc9WGF5K6W', 'WNZP4Rme4aoLvL4JS']","['PARSEERROR', 'UNSAT']","[9.0, 10.0]"
"['McYtBG7c84xQocT7d', 'mRTQNrsJHaKGg7dJC', '5CvPYJ8LeasqTKAFy', 'EENr2Pf4W9AbfYLTp', 'BLPvvYfxyaHNgPSpe', 'eq9Gktrid3GeCQbQi', '3T973Cziw6hzfJQcY']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[8.0, 5.0, 8.0, 8.0, 8.0, 6.857142857142857, 4.800000000000001]"
"['FTS4qRF5DAYyn4Ppi', 'yPXQm7nZXTjoirQrF', 'BJoQ8c3gShEEFB4v2']","['PARSEERROR', 'PARSEERROR', 'SAT']","[13.75, 15.0, 15.0]"
"['prtiMSYwgSfdyWs9K', 'teMX2xY3uuJsM4Tmr']","['PARSEERROR', 'SAT']","[13.357142857142856, 20.625]"
"['DkYZ27SE8yoEdFELe', '4g5BodhQQs2J26z8q']","['PARSEERROR', 'SAT']","[18.77777777777778, 13.714285714285714]"
"['ZxBrA8BzhdrFTgQoT', 'WJfZbXHE7N2vQ5WnK', 'n7jDqYmcFJAMJqca4', 'wZqzMSQ8pAajPgsxZ', 'k2Gv4GmcSSHHN7unX', 'JP4e3RMuZtTroqyjp', 'qbHJsZ3WM7ghFZdzC', 'ZcbmBBzuqS5JcAtoo', 'tZdYoLXDjNDYp8SwS', 'MdnxX3CkJckgzan47']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[8.0, 8.0, 8.0, 8.0, 7.0, 8.0, 8.0, 10.5, 10.5, 10.5]"
"['GTGcqGszaQWmN8ML3', 'ZHDNMEemhjSuMzxkr']","['PARSEERROR', 'SAT']","[10.5, 9.333333333333334]"
"['xsyjDD7MgKFyphxcu', '53CKKtJRb2DNZT6mh', 'ko6zp4jStE8Rs3mWb', 'dqbZcpii2hAmow6SJ', 'jjWhvy4rfuXo4p434', 'JSHv2dmKXjoagMJ3S', '4tikY4q5F4BgtqwNs']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[15.0, 15.0, 16.0, 19.5, 17.642857142857142, 21.0, 19.5]"
"['6wdeWx9o5QHxKpFNL', '73jrC6Gq9mEvhAqyh']","['PARSEERROR', 'SAT']","[7.0, 7.0]"
"['AdPRJyd3Qz5p9gZHu', '2r33CcPx9twopsdvH', 'DzhprcbrcGQis3Tbr']","['PARSEERROR', 'PARSEERROR', 'SAT']","[8.0, 8.0, 10.5]"
"['QpXw3xn3oiN2uXkFi', 'JHQTRng36N8PkFDBx']","['PARSEERROR', 'SAT']","[10.5, 11.666666666666668]"
"['8Wxdec2pHXM8yxg4i', 'XumSWXtJF2PDQhTzf']","['PARSEERROR', 'UNSAT']","[9.0, 10.0]"
"['Pug3JE773wqWmRe9h', 'E7yvoADkKnNrPayKW', 'EbGhTiJ3t34bu3D9a']","['PARSEERROR', 'PARSEERROR', 'SAT']","[9.0, 9.0, 10.0]"
"['BYSbFwPhbEwNGk248', 'yEykQ6y85ELZbTKQM']","['PARSEERROR', 'SAT']","[9.0, 10.0]"
"['THAMPE8SidaPfP6tC', 'He8jAbQ9DLWZWg2CG']","['PARSEERROR', 'SAT']","[9.0, 10.0]"
"['Ls3M5Lzq9qyBmEC4J', 'pbieSKJDSgvZQ9Aca']","['PARSEERROR', 'UNSAT']","[8.0, 9.0]"
"['Wq7eyNTZgrCSnFGgB', 'cni8pEGjBnFaFrGWz']","['PARSEERROR', 'UNSAT']","[10.0, 11.666666666666668]"
"['H8EDZHs2SeJcLTcmg', 'jDwxr9arywDy6Lbb3']","['PARSEERROR', 'SAT']","[12.833333333333334, 12.833333333333334]"
"['pkNJSw8fkdoCMbRn4', 'fzAjgyhSC8pncgwqm', '3w5miv9PQCQPjdRyq']","['PARSEERROR', 'PARSEERROR', 'UNSAT']","[8.0, 8.0, 8.0]"
"['9SRJbeKooCFdRHtBq', 'grEBkfgRPQTjYqHd2', 'b89HJGtJMzSHFJKDz']","['PARSEERROR', 'PARSEERROR', 'SAT']","[6.857142857142857, 7.7142857142857135, 9.0]"
"['pbFAe67FRm9wF73ep', 'AW8KKhKLquhjo6pYF', 'QjMkJsFLqsmaZti3N']","['PARSEERROR', 'PARSEERROR', 'UNSAT']","[9.642857142857142, 9.642857142857142, 11.666666666666668]"
"['2dbmYmsKijt74gStS', 'uCW337MR5oTop4CN6']","['PARSEERROR', 'SAT']","[8.0, 8.0]"
"['uurAvii4uiHftr3v4', 'Kdv8TM5oMMwoxSHFv']","['PARSEERROR', 'SAT']","[11.0, 10.0]"
"['irhMQjoRCPgf8mjr6', 'fBqeAJDCiCpoHsGzj']","['PARSEERROR', 'SAT']","[8.0, 6.3]"
"['SJgyH2hDhpCkYaGFF', 'kqmcCtw94SBES2Ziv', 'rNEGFdrFA3pMQ7b6Y']","['PARSEERROR', 'PARSEERROR', 'SAT']","[11.666666666666668, 11.666666666666668, 10.5]"
"['a2DrBqXAbhx2KkGRs', 'czsLt4sdTi8LHRuBF', 'ebvLL4Ez8bry4jpGo', 'cBJK7SAaNPZfR6A29', 'Ptqkd3XYBRLQxEeQA']","['PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'PARSEERROR', 'SAT']","[7.0, 5.833333333333334, 7.0, 9.0, 14.142857142857144]"
"['nSyczHSJzKwQ9MCMu', 'NG3P3PNXg93xg3GRB', '6MQ7bCjd8Xmvg3c6f']","['PARSEERROR', 'PARSEERROR', 'SAT']","[15.583333333333334, 15.583333333333334, 13.357142857142856]"
