id,chain_len,distances,halstead_difficulty,halstead_effort
7034,15,"[1241, 614, 171, 332, 0, 26, 30, 4, 2, 79, 6, 9, 23, 33]","[0, 28.285714285714285, 5.444444444444445, 5.444444444444445, 2.6666666666666665, 2.6666666666666665, 3.75, 6.0, 6.0, 6.0, 11.0, 12.0, 11.0, 12.0, 14.625]","[0, 5637.970746140271, 404.5314725314871, 404.5314725314871, 59.17193336025649, 59.17193336025649, 120.992484399339, 350.2737001211542, 350.2737001211542, 350.2737001211542, 941.4677254283667, 1096.0769222291337, 941.4677254283667, 1189.0071144928502, 1575.3310465792229]"
6971,18,"[161, 1, 85, 5, 0, 79, 1, 2, 7, 29, 0, 0, 0, 0, 0, 0, 0]","[0, 12.142857142857142, 12.142857142857142, 14.399999999999999, 15.0, 15.0, 18.125, 18.125, 18.125, 18.75, 20.3, 20.3, 20.3, 20.3, 20.3, 20.3, 20.3, 20.3]","[0, 1032.142857142857, 1032.142857142857, 1708.286159536311, 1801.612434150308, 1801.612434150308, 2816.2980713712473, 2816.2980713712473, 2816.2980713712473, 2926.813354971859, 2790.642845463191, 2790.642845463191, 2790.642845463191, 2790.642845463191, 2790.642845463191, 2790.642845463191, 2790.642845463191, 2790.642845463191]"
6973,3,"[14, 20]","[0, 1.0, 1.0]","[0, 4.754887502163468, 11.60964047443681]"
7092,24,"[165, 4, 66, 32, 26, 3, 1, 2, 1, 15, 1, 119, 1, 5, 1, 1, 1, 28, 2, 1, 66, 1, 6]","[0, 9.0, 10.0, 7.700000000000001, 11.700000000000001, 13.75, 13.75, 13.75, 13.75, 13.75, 11.666666666666668, 11.666666666666668, 4.444444444444445, 4.722222222222222, 5.666666666666666, 5.666666666666666, 5.666666666666666, 5.666666666666666, 7.0, 7.0, 7.0, 5.0, 5.0, 3.888888888888889]","[0, 676.8633194123172, 799.0747520839857, 399.3461559675924, 760.6636438851, 1135.55305761107, 1135.55305761107, 1135.55305761107, 1135.55305761107, 1135.55305761107, 897.3729187840861, 897.3729187840861, 305.31763706008564, 327.5274227422434, 424.99999999999994, 424.99999999999994, 424.99999999999994, 424.99999999999994, 551.0323889115764, 551.0323889115764, 551.0323889115764, 352.53297886058186, 352.53297886058186, 249.62573615037405]"
7002,13,"[66, 6, 13, 48, 8, 8, 79, 1, 2, 8, 1, 0]","[0, 1.3333333333333333, 2.25, 5.0, 3.75, 5.25, 3.75, 8.0, 9.333333333333334, 9.333333333333334, 9.333333333333334, 9.333333333333334, 9.333333333333334]","[0, 18.715699480384025, 31.582742873148046, 99.65784284662087, 120.992484399339, 199.88613340802422, 120.992484399339, 557.2627427729669, 606.7972087972307, 606.7972087972307, 606.7972087972307, 606.7972087972307, 606.7972087972307]"
7007,3,"[161, 1]","[0, 12.142857142857142, 12.142857142857142]","[0, 1032.142857142857, 1032.142857142857]"
7045,28,"[161, 5, 53, 2, 4, 2, 2, 2, 2, 0, 21, 40, 2, 2, 1, 1, 51, 89, 4, 4, 4, 8, 8, 2, 119, 0, 1]","[0, 12.142857142857142, 12.142857142857142, 16.5, 14.285714285714286, 16.5, 12.375, 16.5, 16.5, 16.5, 16.5, 14.399999999999999, 16.200000000000003, 12.649999999999999, 16.200000000000003, 16.200000000000003, 16.200000000000003, 17.25, 22.38888888888889, 22.38888888888889, 19.5, 15.8125, 17.25, 24.111111111111114, 24.111111111111114, 16.5, 16.5, 16.5]","[0, 1032.142857142857, 1032.142857142857, 1756.2362713128296, 1255.5532146359901, 1756.2362713128296, 1196.189700548986, 1756.2362713128296, 1756.2362713128296, 1756.2362713128296, 1756.2362713128296, 1729.5479367842956, 2011.470346035712, 1450.2980094909979, 2011.470346035712, 2011.470346035712, 2011.470346035712, 1860.3495108586724, 2834.6018107878504, 2834.6018107878504, 2382.9186173697067, 1598.906772007722, 1860.3495108586724, 3220.500935109945, 3220.500935109945, 1756.2362713128296, 1756.2362713128296, 1756.2362713128296]"
7047,9,"[1241, 614, 171, 0, 7, 2, 0, 0]","[0, 28.285714285714285, 5.444444444444445, 5.444444444444445, 5.444444444444445, 6.0, 6.0, 6.0, 6.0]","[0, 5637.970746140271, 404.5314725314871, 404.5314725314871, 404.5314725314871, 513.5278502336546, 513.5278502336546, 513.5278502336546, 513.5278502336546]"
7067,13,"[404, 2, 2, 153, 30, 158, 14, 8, 6, 3, 5, 61]","[0, 0, 0, 0, 4.714285714285714, 4.875, 11.0, 11.392857142857144, 11.392857142857144, 12.0, 12.0, 11.392857142857144, 9.615384615384615]","[0, 0, 0, 0, 260.3372718953283, 304.35620797199556, 1527.5119342113505, 1599.1896788149568, 1599.1896788149568, 1837.8658107987644, 1837.8658107987644, 1599.1896788149568, 1192.5317377299182]"
7261,3,"[161, 1]","[0, 12.142857142857142, 12.142857142857142]","[0, 1032.142857142857, 1032.142857142857]"
7280,34,"[1241, 1205, 14, 8, 11, 23, 60, 14, 2, 1, 2, 18, 26, 20, 2, 26, 9, 1, 31, 4, 5, 1, 4, 4, 18, 1, 15, 12, 37, 1, 3, 4, 3]","[0, 28.285714285714285, 1.5, 2.0, 2.0, 2.6666666666666665, 2.25, 7.583333333333333, 8.571428571428571, 8.571428571428571, 8.571428571428571, 8.571428571428571, 10.928571428571427, 11.2, 11.2, 11.2, 12.6, 10.5, 10.5, 15.0, 15.0, 15.0, 15.0, 15.0, 18.0, 14.4, 14.4, 12.6, 12.6, 10.5, 12.6, 18.0, 12.6, 18.0]","[0, 5637.970746140271, 19.38721875540867, 36.0, 36.0, 59.17193336025649, 54.48604799353743, 445.9478161679539, 604.3422494752831, 604.3422494752831, 604.3422494752831, 604.3422494752831, 866.2766119876477, 692.3116203150009, 692.3116203150009, 692.3116203150009, 848.0174082509612, 757.1584002240727, 757.1584002240727, 1220.9910819000813, 1220.9910819000813, 1220.9910819000813, 1220.9910819000813, 1220.9910819000813, 1373.6149671375915, 979.3689686177186, 979.3689686177186, 829.1575662800885, 829.1575662800885, 757.1584002240727, 848.0174082509612, 1373.6149671375915, 848.0174082509612, 1373.6149671375915]"
7281,3,"[233, 2]","[0, 18.857142857142858, 18.857142857142858]","[0, 1906.7708088539296, 1906.7708088539296]"
7119,29,"[1241, 614, 171, 332, 0, 9, 11, 1, 1, 4, 6, 22, 8, 5, 1, 1, 4, 4, 5, 47, 4, 23, 46, 5, 37, 29, 29, 61]","[0, 28.285714285714285, 5.444444444444445, 5.444444444444445, 2.6666666666666665, 2.6666666666666665, 2.0, 2.6666666666666665, 2.6666666666666665, 2.6666666666666665, 2.6666666666666665, 3.125, 4.8999999999999995, 4.8999999999999995, 5.6, 5.6, 5.6, 4.8999999999999995, 5.6, 4.8999999999999995, 3.3333333333333335, 3.3333333333333335, 3.0, 3.75, 3.75, 3.75, 3.75, 4.714285714285714, 5.833333333333334]","[0, 5637.970746140271, 404.5314725314871, 404.5314725314871, 59.17193336025649, 59.17193336025649, 36.0, 56.0, 56.0, 56.0, 59.17193336025649, 97.29651427417399, 229.72516702178086, 229.72516702178086, 291.2, 291.2, 291.2, 229.72516702178086, 291.2, 229.72516702178086, 83.64912501682699, 83.64912501682699, 91.3765181293825, 175.22700992954788, 175.22700992954788, 175.22700992954788, 175.22700992954788, 273.2994520564858, 448.68645939204305]"
7120,3,"[161, 1]","[0, 12.142857142857142, 12.142857142857142]","[0, 1032.142857142857, 1032.142857142857]"
7265,3,"[161, 1]","[0, 12.142857142857142, 12.142857142857142]","[0, 1032.142857142857, 1032.142857142857]"
7286,9,"[404, 2, 2, 153, 30, 242, 602, 0]","[0, 0, 0, 0, 4.714285714285714, 4.875, 14.21875, 46.9, 46.9]","[0, 0, 0, 0, 260.3372718953283, 304.35620797199556, 2435.66941903295, 7774.396054416948, 7774.396054416948]"
7294,13,"[66, 6, 13, 48, 8, 8, 79, 1, 2, 8, 1, 0]","[0, 1.3333333333333333, 2.25, 5.0, 3.75, 5.25, 3.75, 8.0, 9.333333333333334, 9.333333333333334, 9.333333333333334, 9.333333333333334, 9.333333333333334]","[0, 18.715699480384025, 31.582742873148046, 99.65784284662087, 120.992484399339, 199.88613340802422, 120.992484399339, 557.2627427729669, 606.7972087972307, 606.7972087972307, 606.7972087972307, 606.7972087972307, 606.7972087972307]"
7402,9,"[1241, 614, 171, 0, 8, 2, 2, 8]","[0, 28.285714285714285, 5.444444444444445, 5.444444444444445, 5.444444444444445, 4.5, 3.5, 4.5, 5.444444444444445]","[0, 5637.970746140271, 404.5314725314871, 404.5314725314871, 404.5314725314871, 220.7229934275183, 133.25742227201613, 220.7229934275183, 404.5314725314871]"
7420,9,"[1241, 1, 8, 1041, 3, 4, 3, 390]","[0, 28.285714285714285, 28.285714285714285, 23.428571428571427, 5.444444444444445, 5.444444444444445, 5.25, 5.444444444444445, 28.285714285714285]","[0, 5637.970746140271, 5637.970746140271, 4278.6167398502375, 404.5314725314871, 404.5314725314871, 351.18023996768716, 404.5314725314871, 5637.970746140271]"
7432,6,"[1241, 1, 505, 2, 240]","[0, 28.285714285714285, 28.285714285714285, 9.0, 5.444444444444445, 16.791666666666668]","[0, 5637.970746140271, 5637.970746140271, 907.9909414845216, 404.5314725314871, 2415.8538160123726]"
7518,8,"[161, 61, 56, 1, 2, 4, 0]","[0, 12.142857142857142, 8.666666666666666, 14.142857142857144, 12.857142857142858, 12.857142857142858, 12.857142857142858, 12.857142857142858]","[0, 1032.142857142857, 556.3087834208336, 1284.158617242395, 1092.857142857143, 1092.857142857143, 1092.857142857143, 1092.857142857143]"
7380,5,"[404, 2, 2, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
7381,12,"[1511, 17, 30, 173, 49, 575, 0, 0, 150, 8, 0]","[0, 5.5, 6.857142857142857, 7.142857142857143, 18.633333333333333, 20.8, 20.8, 20.8, 20.8, 4.821428571428571, 4.821428571428571, 4.821428571428571]","[0, 622.8126623309469, 833.2687750851723, 877.6369643990389, 3307.711074838338, 3790.1395984517208, 3790.1395984517208, 3790.1395984517208, 3790.1395984517208, 524.7184273555216, 524.7184273555216, 524.7184273555216]"
7453,13,"[404, 2, 2, 310, 35, 47, 5, 45, 1, 94, 92, 1]","[0, 0, 0, 0, 3.2142857142857144, 3.2142857142857144, 2.3333333333333335, 2.25, 3.25, 3.25, 3.25, 4.071428571428571, 4.071428571428571]","[0, 0, 0, 0, 296.683839345291, 296.683839345291, 168.87964635946184, 102.79858289555531, 210.6939946257589, 210.6939946257589, 210.6939946257589, 399.5610913566937, 399.5610913566937]"
7379,11,"[404, 2, 2, 153, 30, 242, 602, 0, 50, 4]","[0, 0, 0, 0, 4.714285714285714, 4.875, 14.21875, 46.9, 46.9, 48.40909090909091, 48.40909090909091]","[0, 0, 0, 0, 260.3372718953283, 304.35620797199556, 2435.66941903295, 7774.396054416948, 7774.396054416948, 8796.212680760056, 8810.454545454544]"
7384,5,"[404, 2, 2, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
7415,3,"[1241, 1]","[0, 28.285714285714285, 28.285714285714285]","[0, 5637.970746140271, 5637.970746140271]"
7392,5,"[1241, 614, 171, 0]","[0, 28.285714285714285, 5.444444444444445, 5.444444444444445, 5.444444444444445]","[0, 5637.970746140271, 404.5314725314871, 404.5314725314871, 404.5314725314871]"
7438,5,"[151, 65, 21, 17]","[0, 4.714285714285714, 5.6875, 7.5, 7.5]","[0, 264.8724503866684, 385.9163793761139, 564.052766176931, 564.052766176931]"
7447,3,"[161, 1]","[0, 12.142857142857142, 12.142857142857142]","[0, 1032.142857142857, 1032.142857142857]"
7504,3,"[1241, 1]","[0, 28.285714285714285, 28.285714285714285]","[0, 5637.970746140271, 5637.970746140271]"
7517,23,"[404, 2, 2, 0, 55, 68, 1, 0, 84, 50, 1, 8, 88, 3, 34, 166, 3, 96, 5, 184, 16, 4]","[0, 0, 0, 0, 0, 2.6666666666666665, 3.75, 3.75, 3.75, 4.666666666666667, 7.363636363636364, 8.1, 8.1, 12.375, 12.375, 15.5, 24.93333333333333, 24.93333333333333, 24.93333333333333, 24.571428571428573, 20.77777777777778, 23.375, 24.93333333333333]","[0, 0, 0, 0, 0, 59.17193336025649, 168.6078422015765, 168.6078422015765, 168.6078422015765, 325.06993328423073, 749.2445275295954, 782.9605312684271, 776.3322549692659, 1580.9748519087477, 1580.9748519087477, 2150.665813431174, 4985.013098726188, 4969.766805856979, 4969.766805856979, 4562.784960545841, 4529.7353699217265, 4804.75501738126, 4969.766805856979]"
7519,8,"[66, 6, 13, 48, 8, 8, 0]","[0, 1.3333333333333333, 2.25, 5.0, 3.75, 5.25, 3.75, 3.75]","[0, 18.715699480384025, 31.582742873148046, 99.65784284662087, 120.992484399339, 199.88613340802422, 120.992484399339, 120.992484399339]"
7646,3,"[1241, 1]","[0, 28.285714285714285, 28.285714285714285]","[0, 5637.970746140271, 5637.970746140271]"
7753,88,"[1511, 17, 30, 173, 49, 575, 0, 0, 150, 8, 46, 29, 6, 30, 7, 20, 5, 6, 5, 27, 6, 5, 0, 1, 30, 0, 9, 45, 4, 48, 4, 10, 10, 3, 12, 0, 46, 1, 1, 5, 8, 78, 14, 5, 3, 6, 20, 20, 12, 0, 22, 49, 1, 12, 23, 10, 19, 34, 11, 12, 1, 6, 6, 0, 20, 4, 6, 3, 15, 29, 7, 48, 47, 3, 13, 42, 3, 47, 3, 3, 7, 0, 15, 0, 3, 3, 3]","[0, 5.5, 6.857142857142857, 7.142857142857143, 18.633333333333333, 20.8, 20.8, 20.8, 20.8, 4.821428571428571, 4.821428571428571, 9.9, 7.250000000000001, 6.0, 7.233333333333334, 7.700000000000001, 7.65625, 8.75, 9.0, 7.65625, 6.78125, 7.21875, 8.5, 8.5, 8.5, 6.766666666666667, 6.766666666666667, 6.0, 9.84375, 8.75, 10.5, 11.8125, 12.09375, 11.53125, 12.8125, 11.25, 11.25, 11.5, 12.176470588235295, 12.176470588235295, 13.823529411764707, 13.529411764705884, 18.11764705882353, 17.794117647058822, 18.11764705882353, 18.11764705882353, 18.11764705882353, 22.558823529411764, 23.705882352941178, 23.705882352941178, 23.705882352941178, 24.85294117647059, 26.0, 26.0, 26.0, 24.916666666666668, 24.916666666666668, 26.0, 24.916666666666668, 25.63888888888889, 24.916666666666668, 24.916666666666668, 24.555555555555554, 24.916666666666668, 24.916666666666668, 24.916666666666668, 24.916666666666668, 24.916666666666668, 24.916666666666668, 28.0, 31.666666666666668, 31.666666666666668, 24.916666666666668, 31.666666666666668, 31.666666666666668, 31.666666666666668, 24.916666666666668, 24.916666666666668, 31.666666666666668, 31.666666666666668, 31.666666666666668, 31.666666666666668, 31.666666666666668, 32.5, 32.5, 32.5, 32.5, 32.5]","[0, 622.8126623309469, 833.2687750851723, 877.6369643990389, 3307.711074838338, 3790.1395984517208, 3790.1395984517208, 3790.1395984517208, 3790.1395984517208, 524.7184273555216, 524.7184273555216, 1430.914592375561, 888.057504656582, 693.7631656229591, 943.7780016508409, 1012.5512190408862, 1064.3800269557776, 1269.3227650652752, 1314.8919737100732, 1064.3800269557776, 925.0096891180115, 992.4152572985955, 1228.5630338578048, 1228.5630338578048, 1228.5630338578048, 868.3228934419911, 868.3228934419911, 693.7631656229591, 1487.4876153108694, 1269.3227650652752, 1579.230208255115, 1850.660400298963, 1900.3520771091332, 1795.6516381195156, 2074.97522627144, 1740.8881571850047, 1740.8881571850047, 1979.44974343322, 2018.2624835005383, 2018.2624835005383, 2392.2109111643363, 2328.764404039083, 3370.389163565719, 3295.681904685636, 3370.389163565719, 3370.389163565719, 3370.389163565719, 4562.386922267365, 4859.390604191278, 4859.390604191278, 4859.390604191278, 5158.623031320912, 5677.781660202913, 5677.781660202913, 5677.781660202913, 5380.487877877741, 5380.487877877741, 5677.781660202913, 5380.487877877741, 5563.638888888889, 5380.487877877741, 5380.487877877741, 5284.796319564348, 5380.487877877741, 5380.487877877741, 5380.487877877741, 5380.487877877741, 5380.487877877741, 5380.487877877741, 6301.947009377555, 7439.293420996066, 7450.10075270749, 5380.487877877741, 7450.10075270749, 7450.10075270749, 7450.10075270749, 5389.367300910061, 5380.487877877741, 7439.293420996066, 7450.10075270749, 7450.10075270749, 7450.10075270749, 7450.10075270749, 7700.452499041017, 7700.452499041017, 7700.452499041017, 7700.452499041017, 7700.452499041017]"
7799,64,"[1511, 17, 30, 173, 49, 575, 0, 0, 150, 8, 46, 29, 6, 30, 7, 20, 5, 6, 5, 27, 6, 5, 0, 1, 30, 0, 9, 45, 4, 48, 4, 10, 10, 3, 12, 0, 46, 1, 1, 5, 8, 78, 14, 5, 3, 6, 20, 20, 12, 0, 22, 49, 1, 12, 23, 10, 19, 34, 11, 12, 1, 1280, 0]","[0, 5.5, 6.857142857142857, 7.142857142857143, 18.633333333333333, 20.8, 20.8, 20.8, 20.8, 4.821428571428571, 4.821428571428571, 9.9, 7.250000000000001, 6.0, 7.233333333333334, 7.700000000000001, 7.65625, 8.75, 9.0, 7.65625, 6.78125, 7.21875, 8.5, 8.5, 8.5, 6.766666666666667, 6.766666666666667, 6.0, 9.84375, 8.75, 10.5, 11.8125, 12.09375, 11.53125, 12.8125, 11.25, 11.25, 11.5, 12.176470588235295, 12.176470588235295, 13.823529411764707, 13.529411764705884, 18.11764705882353, 17.794117647058822, 18.11764705882353, 18.11764705882353, 18.11764705882353, 22.558823529411764, 23.705882352941178, 23.705882352941178, 23.705882352941178, 24.85294117647059, 26.0, 26.0, 26.0, 24.916666666666668, 24.916666666666668, 26.0, 24.916666666666668, 25.63888888888889, 24.916666666666668, 24.916666666666668, 28.44, 28.44]","[0, 622.8126623309469, 833.2687750851723, 877.6369643990389, 3307.711074838338, 3790.1395984517208, 3790.1395984517208, 3790.1395984517208, 3790.1395984517208, 524.7184273555216, 524.7184273555216, 1430.914592375561, 888.057504656582, 693.7631656229591, 943.7780016508409, 1012.5512190408862, 1064.3800269557776, 1269.3227650652752, 1314.8919737100732, 1064.3800269557776, 925.0096891180115, 992.4152572985955, 1228.5630338578048, 1228.5630338578048, 1228.5630338578048, 868.3228934419911, 868.3228934419911, 693.7631656229591, 1487.4876153108694, 1269.3227650652752, 1579.230208255115, 1850.660400298963, 1900.3520771091332, 1795.6516381195156, 2074.97522627144, 1740.8881571850047, 1740.8881571850047, 1979.44974343322, 2018.2624835005383, 2018.2624835005383, 2392.2109111643363, 2328.764404039083, 3370.389163565719, 3295.681904685636, 3370.389163565719, 3370.389163565719, 3370.389163565719, 4562.386922267365, 4859.390604191278, 4859.390604191278, 4859.390604191278, 5158.623031320912, 5677.781660202913, 5677.781660202913, 5677.781660202913, 5380.487877877741, 5380.487877877741, 5677.781660202913, 5380.487877877741, 5563.638888888889, 5380.487877877741, 5380.487877877741, 8705.895416655032, 8705.895416655032]"
7816,38,"[404, 2, 2, 98, 3, 4, 109, 7, 7, 12, 22, 22, 77, 53, 57, 86, 0, 2, 132, 4, 214, 31, 44, 1, 3, 21, 845, 749, 0, 7, 6, 1, 0, 6, 39, 0, 0]","[0, 0, 0, 0, 1.5, 1.5, 1.5, 4.7727272727272725, 4.7727272727272725, 5.818181818181818, 6.954545454545454, 6.576923076923077, 6.954545454545454, 6.46875, 3.3928571428571432, 6.300000000000001, 4.875, 4.875, 4.875, 6.9, 6.9, 3.75, 4.166666666666667, 3.333333333333333, 3.333333333333333, 3.333333333333333, 2.6666666666666665, 21.666666666666668, 29.25, 29.25, 30.875, 30.875, 30.875, 30.875, 30.875, 30.875, 30.875, 30.875]","[0, 0, 0, 0, 53.774437510817336, 53.774437510817336, 53.774437510817336, 398.94946357610127, 398.94946357610127, 525.6312002391617, 675.7009929586532, 716.8340969105932, 675.7009929586532, 829.5012378965688, 306.5204264787522, 504.00000000000006, 304.35620797199556, 304.35620797199556, 304.35620797199556, 849.4092676060865, 856.139580238847, 217.39729140856826, 194.69667769949766, 146.66666666666666, 146.66666666666666, 146.66666666666666, 104.18374921622717, 5899.70759911659, 9863.748659503217, 9863.748659503217, 10638.076754754074, 10651.03983543595, 10651.03983543595, 10651.03983543595, 10651.03983543595, 10638.076754754074, 10638.076754754074, 10638.076754754074]"
7691,4,"[1241, 1, 0]","[0, 28.285714285714285, 28.285714285714285, 28.285714285714285]","[0, 5637.970746140271, 5637.970746140271, 5637.970746140271]"
7692,3,"[161, 1]","[0, 12.142857142857142, 12.142857142857142]","[0, 1032.142857142857, 1032.142857142857]"
7698,6,"[404, 2, 2, 1086, 671]","[0, 0, 0, 0, 21.462962962962962, 24.89655172413793]","[0, 0, 0, 0, 6655.825387277607, 8418.293882775397]"
7796,39,"[404, 2, 2, 536, 20, 195, 321, 34, 46, 147, 96, 83, 0, 186, 0, 206, 130, 295, 114, 1, 1, 84, 0, 60, 0, 31, 30, 877, 0, 1, 1, 3, 3, 0, 6, 1644, 0, 0]","[0, 0, 0, 0, 4.5, 4.714285714285714, 9.96875, 14.333333333333332, 13.363636363636363, 14.36842105263158, 16.5, 16.42857142857143, 19.704545454545457, 19.704545454545457, 19.704545454545457, 19.704545454545457, 19.704545454545457, 19.704545454545457, 19.704545454545457, 18.25925925925926, 18.25925925925926, 18.634615384615387, 18.634615384615387, 18.634615384615387, 18.634615384615387, 18.634615384615387, 17.0, 18.634615384615387, 18.383720930232556, 18.383720930232556, 18.383720930232556, 18.383720930232556, 18.383720930232556, 18.383720930232556, 18.383720930232556, 18.58139534883721, 17.608695652173914, 17.608695652173914, 17.608695652173914]","[0, 0, 0, 0, 468.8508029066055, 498.3379234927263, 1541.7055898485257, 3134.3769692441983, 2987.3115646280366, 2906.2479315609053, 3640.4333820722773, 3770.3804636823247, 5013.209100458087, 5013.209100458087, 5001.0922765690575, 5001.0922765690575, 5001.0922765690575, 5001.0922765690575, 5001.0922765690575, 5349.256425327849, 5349.256425327849, 5335.1480356119055, 5335.1480356119055, 5335.1480356119055, 5335.1480356119055, 5335.1480356119055, 4757.197881985247, 5335.1480356119055, 8046.136328370461, 8046.136328370461, 8046.136328370461, 8046.136328370461, 8046.136328370461, 8046.136328370461, 8046.136328370461, 8153.014159914698, 4322.202287427304, 4322.202287427304, 4322.202287427304]"
7814,13,"[161, 1, 85, 5, 0, 79, 1, 2, 7, 29, 0, 0]","[0, 12.142857142857142, 12.142857142857142, 14.399999999999999, 15.0, 15.0, 18.125, 18.125, 18.125, 18.75, 20.3, 20.3, 20.3]","[0, 1032.142857142857, 1032.142857142857, 1708.286159536311, 1801.612434150308, 1801.612434150308, 2816.2980713712473, 2816.2980713712473, 2816.2980713712473, 2926.813354971859, 2790.642845463191, 2790.642845463191, 2790.642845463191]"
