id,parseerror_fix_steps,unsat_to_sat_steps
v3cYnXtvbqpw2LeJf,"[1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 2]","[1, 1, 1, 1, 5, 1, 1, 1, 3, 1, 1, 1]"
sSXgEB6wKPtbq4dEp,"[1, 2, 1, 1, 7, 1, 2, 2, 8, 3, 1, 2, 3, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 3, 1, 1]","[1, 10, 2, 3, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1]"
vPLCXDJpYXJ6o25mZ,[],[]
ywtXcN7cGgN2uFhRL,[],[1]
23hMeYeeS9tWvJKWk,"[2, 3, 2, 1, 2, 2, 3, 1, 1, 1, 1, 1, 2, 9, 1, 6, 3, 2, 1]","[1, 3, 1]"
K2j92s2McryAJAafq,[],[]
R9iq92AQDNQsLnKmH,[],[]
Ju3bMtfQQkH67ZJSb,[],[]
XuKjSo4GygsfGuWR5,"[2, 1, 1, 1, 1, 1, 1]","[6, 1, 1, 7, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 11, 1, 1]"
9NYjpetptEgZPpMxP,"[1, 1]","[1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1]"
W8kJkudZ9Cy37ovtX,"[1, 2, 2, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 5]","[11, 8, 6, 4, 2, 3, 1, 1]"
EZQ2fsrsYumyoQuZC,[],[1]
DK9MCxfBju2bCJLod,[2],[1]
pbKkNuBKF5ASnzyNB,"[2, 3, 2, 1, 2, 2, 3, 1, 1, 1, 1, 1, 2, 9, 1, 6, 3]","[1, 3, 1]"
3cE2weNqJTa3fkcBt,[],"[1, 1]"
cmjWAQDHkou5E4Qqr,"[3, 1, 1, 2, 1, 2, 1]","[1, 1, 1, 1, 2, 1, 1, 1, 2]"
bbYs9DnfiZh7hc5rS,"[2, 1, 2, 1, 2, 1, 4]","[8, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 5]"
vS5tsgbxYQFfKEv5Q,[],[]
NbfH2xJNJpF5aS3aH,[],[]
CF2m9X9tJ7NARGMjY,[6],[1]
bD4isGNeL377KoTW3,[],[]
hvrp9XFhMKqQrTtJc,"[1, 2, 1, 2, 1, 2, 3, 1, 1, 5, 1, 1, 2, 2]","[5, 3, 5, 2, 1, 6, 2, 1, 3, 1]"
se9KQR4bBoTZh3kAn,"[1, 2, 2, 1, 1, 1, 3]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1]"
pKv8LKidE6gpuTsFP,"[1, 3, 1]","[2, 1]"
vSCEZMDEqtd2As4ri,"[1, 1, 1, 1, 2, 1]","[2, 3, 1, 1, 1, 3, 1, 5, 1, 1, 1, 1, 1, 1, 1]"
JHLrP5kHozfi5gn94,"[4, 1, 1, 1, 2, 1, 1, 3, 2, 2]","[1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1]"
uKt389SLiE8NtG66K,"[1, 1, 1]","[3, 1, 1]"
GtvxhPD9Qrcr2jecT,"[1, 15, 3, 3, 1, 1, 1, 1, 6, 2, 1, 1, 5]","[2, 1, 1, 1, 7, 6]"
S3xSujqdYLGizBLra,"[2, 3, 2, 1, 2, 2, 3, 1, 1, 1, 1, 1, 2, 9, 1, 6, 3, 2, 1]","[1, 3, 1]"
W9QqLQWM8WBhPk9Pk,[],[]
EsFt3yWwPtnzyHPJS,"[2, 2]","[1, 1, 1, 1, 1]"
28uNcS585sPtt59ZM,[1],"[1, 1, 2, 1]"
LqApqcd8cnyqT6sEZ,[],[]
MZPj3333pNqCC7uPn,[1],[]
6YmxWkc8PtXEqdafi,[],[]
kb8KrpANCxg9XXcLs,"[1, 2, 1, 1, 1, 2, 3, 2, 6, 3, 1, 2, 2, 5]","[1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]"
porWs2KaACnYe7hRm,[],[]
6JsAp43W6iNbahrCL,[],[1]
YPi6u4nSwTD4eDMbs,[],[]
XfwCReNqjWPNQtMeY,"[3, 1, 1]","[4, 1]"
SihpQwt6qQiWToqvC,"[1, 1, 1]","[3, 1, 1, 1, 1, 1]"
ySHGhXpZbSEjGvLZW,"[1, 5, 1, 1]","[1, 1, 1, 1, 1, 1, 4, 1, 3, 1, 1, 1]"
jDwxr9arywDy6Lbb3,[1],"[1, 1, 1]"
wSrkMsnzEshXcRMtJ,[],[1]
RbZARvje9bfDzYdHu,[],[]
RxvzyxG2cEFWjpv3r,[],[]
ZJ4LnQF2pS3wLYE6B,"[2, 2, 2]","[1, 6, 3, 1, 1, 1, 1, 1, 1, 1]"
PNoKqxGPXat6dfi9A,[],[]
fTiqPWvNCo65MRir8,[],[1]
evHa8WxafTR2NEHRW,"[1, 2]","[1, 1, 1, 1, 1]"
QjMkJsFLqsmaZti3N,[2],[]
uCW337MR5oTop4CN6,[1],[2]
bPS5AFpxE3Jji9gQn,"[1, 1, 2, 4, 2, 1, 1, 8, 1, 1, 1, 1]","[1, 2, 1, 1, 5, 1, 1, 1, 3, 1, 2, 1, 1]"
SzTSdQjmZw3g3TxFS,[],[]
ux2D2jehwad6qwMDA,[],[]
FEt5y4p3KBYtvuFPp,"[5, 2, 1, 1, 2, 1]","[1, 1, 1, 1, 1]"
PjtzPSLM57jJJZExo,"[3, 1]","[1, 6, 1, 4, 1, 1, 1]"
TyHwxSntn9EmBHi8w,"[2, 1, 1, 1, 3, 1]","[3, 1, 2, 1, 1, 2]"
2mahNHhQNvDCe7YFg,[],[]
v5P4hWHQqmxvhRJDN,[],[]
dXm7JkkD9uDtSoobv,[1],"[1, 1, 1, 1]"
w8RwCzjbXF27xvJkM,[1],[]
zYMTBzSqRmibWhkCJ,"[1, 1, 1, 3, 2, 1, 1, 3, 1, 1]","[2, 3, 2, 4, 1, 1, 1, 4, 1, 1, 1, 1, 1, 3, 1]"
eyYEBo4PBTvd9KK3h,[1],[]
TXZGmeWKc9F9o9mXA,"[4, 3, 1]","[5, 4, 1, 1, 1, 1, 1, 1, 2]"
fvRvdN72q5gJz8Mo9,[],"[1, 1]"
AWPRmbwHt6ufEAKtc,[],[]
LspevonRq6xsfYjBR,"[1, 1, 1, 1, 1]","[1, 1, 1, 2, 1, 1, 1, 1, 1, 1]"
H4PY2caqHXT7SBt6H,"[1, 1, 2, 3, 1, 1]","[1, 3, 1, 1, 2, 1, 1, 1, 1, 4, 1, 2, 1, 1, 1]"
8NNERmyDkJSKt8y3L,"[1, 1, 1, 2, 1]","[2, 2, 1, 2, 1]"
k6QtsJvLX2wheNNSW,"[6, 1, 5, 4, 1, 1]","[1, 8, 1, 2, 1, 2]"
tGam2CchNBq52q4dj,[],"[1, 1, 1]"
6sFWsGrZJkhRN2nDn,"[1, 4, 2, 1, 1, 1, 1, 2, 2, 4, 3, 1, 1]","[1, 1, 5, 5, 3, 5, 1, 1, 1, 1, 1, 1, 1, 2]"
CkJ7Yebbk2Bjfartt,[],[]
C5uCNemjzn73dcQ27,"[1, 2, 1, 1, 1, 1, 3]","[7, 3, 1, 1, 1, 4, 1, 1, 1, 2, 1, 1, 1, 1, 1]"
hL799QiGo4ckcggq6,[],[]
QhKvJf8W8BD42Npnw,[],[1]
yhFc9eCu9cEeo4u5T,[],[1]
WXHCxxwTMwENjuE9D,"[1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
gERX6QizjaKwqZMCJ,"[2, 5, 1, 4, 1, 1]","[4, 1, 1, 1, 3, 1]"
oAPYTyLa8PbFG25qv,[2],[]
Yiz8Mn9JAjykLRNZk,[],"[1, 1]"
v3JQMp2nth5ebnBLJ,"[1, 1, 1, 1, 1]","[2, 3, 1, 2, 4, 2, 1]"
L9dcZxegPr7oAvjLz,[],[]
DgYNpb6x7Jdx6Rw2t,"[1, 1, 2, 2, 1, 1, 2, 2, 1, 1, 3, 3, 1]","[1, 1, 1, 7, 3, 3, 1, 1, 14, 9, 4, 1, 1, 4, 1]"
vsZGB5N5EsYh2GPYh,"[1, 1, 3, 1, 2, 1, 1, 4, 1, 1, 1, 1]","[4, 1, 3, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Bk6zyS4GmGBxziabr,[],[]
Phhq8dmrS2wqy66jw,[],[]
GKNY2tpo8CigXWxdB,"[1, 6, 1, 2, 1]","[1, 1, 1, 1, 1, 1]"
rfSMwQAffTMKsg7dk,"[3, 1, 2]","[6, 2]"
5LqjxcHWuYJXuCDa6,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 8, 4, 1, 1, 1, 1]"
FLagLPb8vEXZK4ro5,"[1, 1, 1, 1, 2, 1]","[2, 3, 1, 1, 1, 3, 1, 5, 1, 1, 1, 1, 1, 1, 1]"
gNjASxo6McsgwoNE9,"[2, 2, 2, 3, 4, 2, 3]","[1, 7, 3, 3, 16, 12, 4, 1, 1]"
J2Xu5fQLFohSm8Qbq,[],"[1, 1, 1]"
tGntixtMijJnxwYtP,[1],"[1, 1, 2, 1]"
WMFCS4hAFkvHdm8MG,"[1, 1]",[]
STGN78Gq75ZN3JKAJ,"[1, 1, 1, 3]","[1, 2, 1, 1]"
ymSHnjFCbgAzdAGcm,[],[]
4zDygwoYWF7AAqHv8,[2],[1]
Xvf9BjRAsJjRKPMoN,[],[]
ybkFCPHN8m6H8MPJN,[3],"[1, 1, 1, 1]"
PnWY4KrquTCmEQPYs,[1],"[1, 1, 3, 1, 1]"
kvWDqi6SkKuWQwCAs,[],[]
CMFxAp9twKeZ9CTHd,[2],[1]
wKj9WdJhrJyErk2h3,"[2, 3, 2, 1, 2, 2, 3, 1, 1, 1, 1, 1, 2, 9, 1, 6, 3, 2, 1, 5, 1, 1, 1, 2, 1]","[1, 3, 1]"
bCpcNQF8k7R6W9pKq,"[1, 1, 3, 1, 2, 1, 1]","[8, 6, 1, 1, 1, 1, 3, 1, 1]"
TqrHyRFWFSAuGoGtn,[1],[]
LGrF6W8RwD8Wb85Sq,[],[]
Z3Azmigr9oRrM37ib,[1],"[1, 1, 1]"
oqJbmt3KPrpcuSiYx,"[1, 2, 1]",[2]
muiF9M33YEp7vfvu9,"[1, 1, 1, 1, 3, 3, 1, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1]"
R9tFbygYizzsrTERm,"[1, 1, 1]","[1, 2, 1, 1, 1, 1, 1]"
iKopcuQDQkCCp3YB3,"[1, 1, 2, 1, 1, 1, 1]","[1, 4, 1, 1, 1, 1, 1, 1, 1]"
G7PQ9aRkgG6pS2qdE,[],[]
T5xJtCwXCnQJ8iat5,"[1, 4, 4, 3, 2, 1, 1, 1]",[5]
aYmuLQG8bqyf8xypZ,[],[1]
BphkhQnDraeNdoRjy,"[1, 1]","[9, 1, 1]"
CmCzZKTCDGTX6xFQE,[],[]
dezhpKsRY8SLJBk78,"[2, 1, 1, 3, 1, 1, 3]","[1, 2, 2, 4, 1]"
XyYvtAEweRSCjCRD5,"[1, 1]","[1, 4, 1, 1, 1, 1, 1, 2, 1, 1, 1]"
76NvjtSz4DSnBeWg5,[1],[]
z8HymkFXxv8seWDN2,[],[1]
Gkx5cdFExksGMTHyj,"[2, 1, 2, 1]","[7, 2, 1, 1, 1]"
tqqdSfjayjQoBgcvj,"[1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 3]","[2, 3, 1, 2, 3, 1, 1, 4, 1, 1, 1, 1, 2, 1, 1, 2, 4]"
XXPeZnSCbEnDWpc6e,"[1, 1]","[1, 1, 2, 1, 1, 1]"
Ey7xC9xHFRFLMr8rv,"[1, 2, 1, 1, 2, 1]","[1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1]"
9b8fYcuRornKKQMAC,"[1, 1, 1]","[2, 1]"
F9FRRM39XCyHHxcEa,[],[]
BQd8yRxAr4RF7tEsj,"[1, 1]","[1, 4, 1, 1]"
LR5XhvD8MswgawLuD,[2],[]
trRJnSMkRCnnw2ugX,[],[1]
KxDn26zCFTwfsmF8G,[],[]
ruKQ2b3uDSynnMTjJ,[],[]
aX9JvmjNrFCGwWut5,"[3, 1, 1, 4, 1]","[7, 2, 2, 1, 1, 2, 1]"
PqavxX9reKYaTBHZb,[],"[1, 1]"
gdChxaPnKiFxq9obq,[],[]
KwKhCni2BbHvPQh2S,"[1, 1, 2, 2, 1, 2, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]"
o2bis6bvKi55ek9vF,[],"[1, 1]"
v4TpkNEAdgYiavQHQ,[],[]
GkgFqZq2hsmSWep7k,"[1, 4, 1]","[1, 1, 5, 2, 1]"
obfc8Pp9RSB3e8CEd,"[1, 1]",[]
PxxrTLp8KcKXjhJCE,"[6, 4, 1, 1]","[7, 1, 12, 7, 1, 1, 1, 3, 1]"
PEymtRJiepDW2THev,"[1, 1, 1, 1, 2]","[6, 4, 2, 1, 3, 1]"
3Yv4dMu68FkATTmbY,"[1, 1, 4, 2, 1]","[1, 2, 1, 2, 6, 1, 4, 1, 1]"
HHBN4o9j6dQHECJwT,[],"[1, 1]"
iv26TkqGom5pnhesc,[],[1]
gwDAsJxTLSmgrdzYp,[2],[]
spRdQQvD9xd5ZzgJo,"[1, 2, 2]","[2, 3]"
Jt8gaqdfD8LzyLN88,"[1, 5, 2, 1, 1]","[1, 2, 1, 1, 2]"
M8BXyie2bmGbtoQ4K,"[1, 2, 1, 1, 1]","[3, 4, 1, 2]"
RAH2AEefbz7NBueYS,"[1, 1, 6, 1]","[1, 6, 1, 1]"
HbnmZkWExCFDnYpm2,[],[]
S643ds2pdbGvytC4H,[],[]
KsDJ4ZBtDAWGMh5nd,"[1, 1]","[1, 4, 1, 1, 1, 1]"
c4gAYzAZpPvDvLe8i,[4],"[5, 1]"
NMvEi5E3cBXYa6CEu,"[1, 1, 2, 1, 1]","[1, 6, 3, 1, 1, 4, 1]"
JECJa45Fssade7ttn,[],[]
TAroJ49quJDW9BKMH,[],[]
RPseBgBFvEWHuP6Pf,"[1, 5, 1, 1, 9, 1]","[3, 1, 1, 2, 1, 1, 12, 10]"
xmFYdocBakrHqaynG,"[1, 1, 5, 1, 4, 1, 1]","[1, 1, 1, 1, 9, 6]"
35dnFJo8AMayk4t8w,"[1, 1]","[4, 2]"
pQJdwPyCy5Evo2Zwv,"[1, 1, 1]","[1, 2, 4, 1]"
RusrDAqXcs9fR3e5q,"[1, 1, 1]","[1, 3, 1]"
7EqWrTpsBCgDdQceg,[],"[1, 1]"
b5QaPuCEeNb4zin8m,[],"[1, 1, 1, 1]"
ffheBCkNWkSAeTtRH,[],"[1, 1]"
E7cLWb3YT66udiX2P,[],"[1, 1]"
wmE99NQ6CAhS3LqQe,[],[1]
SjZjc77M7SbzKXjeB,[1],"[1, 1, 1, 2]"
ZJimCrnqcAuNJJG3P,[],[]
z8nhSxv5x6wWsoe7k,"[1, 1, 3, 1, 1, 1]","[8, 5, 1, 4, 1]"
GFovy8df45Tk82maA,[],[]
5HTFZxfez2rc7rPG8,"[2, 1, 1]","[8, 4, 1]"
6CXYSR84oaohCQZdK,[],[]
k84KJyvdMGpB68wRw,[],[]
RYC9L6N2y5AcrfhEL,[1],[]
yPdpcDbN7LByTXgHm,[4],[1]
zn3emk9NLKddr8aL6,"[4, 2]","[1, 1, 1]"
BrAGJ3MzqYqeoeA3p,[],"[1, 1, 1, 1]"
NZpXessnvR27kHC3Q,[],[]
KT4uRCYNa5vbj3SuR,"[3, 1, 1]","[1, 1, 1, 1, 3, 1]"
E7SKhmbM3HEgnE4nf,"[1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1]","[2, 1, 2, 1, 3, 1, 5, 1]"
dvXsentXmJJph5TXk,"[2, 2, 3, 1, 1, 1]","[1, 9, 6, 1, 2, 2]"
MeoBa249SsuHYNDb4,"[1, 1, 1]","[1, 1, 1, 1, 1, 2]"
F47oesRME5N5PkHyL,[],[]
Gf3Yv85QYM75yqXia,"[1, 2, 1]","[6, 4, 1]"
2wQFBknaXciPxuYSB,[],[1]
ZL3KBDxrG6ree5o2F,"[1, 1, 2, 1]","[1, 3, 1, 3, 1, 1, 3, 1]"
ED4J3orpC5hzHiDDb,"[3, 1, 1, 2, 1]","[8, 6, 4, 1]"
zX4sBJQ9tEb6Amznr,"[1, 1, 1, 2, 1, 1, 2, 2]","[1, 4, 2, 2, 1]"
DMoBPXauJPeLJfGeq,"[3, 1, 3]","[4, 1, 2, 1]"
qzjaRFQgjJLczPHRf,"[1, 2, 1, 2, 1]","[4, 1, 5, 3]"
3gAzkjcovJWddyM6g,"[1, 1, 1, 2, 1]","[8, 6, 4, 1, 1, 2]"
yfie8egjEtv9yWG3Y,"[2, 2, 1]","[1, 4, 1, 1]"
JgpxSkc29MxCCWiPT,"[4, 4, 1, 2, 1, 3]","[5, 1, 1, 3, 1, 1]"
fuSgBbYAYJYcXWZKn,[],"[1, 1, 1]"
jDqXn5xY7J5FuM3En,[],[]
TDBx7WNaHSPFkZBAj,"[7, 1, 1]","[1, 2, 1]"
xCdCPGenP35Mbeiw6,"[1, 4, 1, 1, 1, 2, 1]","[1, 2, 1, 3, 1, 1]"
tBLkPWpSRxXs7h6xK,"[1, 2, 1, 2, 2]","[1, 1, 1, 5, 3, 1]"
ueZ3C7WSuXxpfGaGf,"[1, 2, 1, 1, 1, 1, 1]","[4, 1, 1, 1, 3, 1, 1]"
Sgu7Gwaxsjvo5RNvP,[],[1]
riTG3F8CYmgtuoeqK,"[3, 3, 1, 2, 1, 2]","[4, 10, 1, 1]"
fMYku49kz8hoyPWGh,"[2, 1, 2, 3, 4, 1, 1]","[1, 4, 1, 12, 7, 2]"
PxqgQzgoH9yx8tnwT,[],[]
xP8Ez3XBdHZueMrAT,[],[1]
frSyXW8sB3oHga3D4,[],[]
pYiYJrv569FQg3koa,"[3, 1, 1, 1, 2]","[4, 1, 1, 2, 1, 1]"
zTXTicFhYP6We5iLv,"[6, 1, 1, 1]",[]
Qi6qnh2Z39WicZecG,"[1, 1, 1, 6, 4]","[6, 3, 1, 1, 5]"
ikrhH3gxE3w4pAjj6,"[4, 1, 2, 1, 1, 3, 2]","[3, 1, 5, 2, 2]"
eD49ubeDqjfn7ubnX,[],[1]
LmzafbboSJNoESZgo,"[2, 1]","[1, 1, 1]"
RNA53pTPBrFB6W5n8,"[1, 1, 1]",[2]
KKMwyLZtELAzRLkTn,[2],"[1, 1]"
BxqdMD8Y2fuwHaBx5,"[1, 1, 1, 1]","[1, 4, 2, 1, 1, 1]"
4DwHbQZMr5y86Ace2,"[1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]"
KmKZREq3RF7fAkZtW,[],[]
6BSrgEZDoCcB7ggoN,[],[]
sBigrzZPWdGycJ9JD,[1],"[1, 2, 1, 1, 1]"
tLumGkEEZ6YLPGqpZ,[],[]
73MWN2LncdHtAN33w,"[1, 1, 1]","[1, 1, 1, 1, 2, 2, 3, 1]"
Q4HaYEwP4QZJ7DMEA,"[5, 1]","[1, 1, 1]"
vKzWXwFu4udY8T3QN,"[1, 7, 1]","[9, 1, 1, 1]"
gftomdSEvsNd6pjQA,"[2, 1]","[1, 1]"
5GCr5SNHcZpRqWv9n,"[1, 1, 2, 1, 1, 1, 1]","[1, 12, 7, 4, 2, 2]"
uLdpB4cn78S4RuznZ,[1],[]
YzwiojHYt2NaPgoXJ,"[1, 1, 1, 1, 2, 2, 1, 1]","[6, 2, 1, 1, 3, 2]"
pMTpLMQKgvEuMKJyq,"[1, 1, 1, 1, 1]","[1, 1, 1, 1]"
aGtAQ9MiZdCXkpkMi,[],[]
Dg8piwFmEQYGKeemE,"[1, 3, 2]","[1, 4, 5, 1]"
YBjc5iymWYqxbAMCt,[],"[1, 1]"
8MLpokuCGBx5qjrHe,[],[]
RfLvB53F8m9T2gBnc,"[3, 1, 1, 1, 1, 2, 1, 1, 2, 5, 1]","[4, 1, 1, 5, 2, 1, 3]"
ThH3uSXLqzKJGW2iD,[],[1]
qqnxCmY8mW6eWucyL,[],[]
hx5ZmrYtSiFmEwYGg,[],[]
FFkCPNmjjQdRD8mTy,[],[]
ZwTZH3vdLngq6tYt4,[],[]
JiSbtvdAytMiNLNP8,[],[]
PeBsqbhdjLZxqbrFN,[],[]
jiLtvBHKCKzLsCvYq,"[1, 1, 1]","[1, 3, 1, 1]"
7LfqxnHEWWRdxHqf8,[3],"[1, 6, 1, 1, 1, 1]"
FjijJ7ZD98r5RQMnm,[],[1]
zEPpdYnF76gxDmHdk,[1],"[1, 1, 1, 1, 1, 1, 1]"
vwFc7S36iyktrEkac,"[1, 2, 1, 2]","[6, 3, 1]"
iRbPkAJsB7h5XWTbo,"[1, 1, 3, 12]","[1, 5, 1, 1]"
75AMAziMPzP7khCx4,"[1, 2, 2, 1, 1]","[1, 1, 1, 2, 3, 1, 4, 1]"
XFZuheNnS37tR5XpL,"[1, 1, 3, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
XMWkWKLcZB3ebmPmG,"[1, 2, 1, 1]","[1, 1, 1, 1, 1, 2]"
Q3fbsLGFF4GTZP6Jd,"[1, 1, 1, 2, 3, 1]","[2, 4, 1]"
kw5jL2chxbrw49ps3,[2],[]
XmcGvso9cgzgfh35Q,"[1, 11, 2, 2, 1, 1]",[2]
w9C8N6fdJYj4hRZ8T,"[1, 2]","[5, 3, 1]"
dtoer24jdJBMzZqKX,[],[]
EA3kF8uRgGvf7Emdw,"[1, 6, 1]","[1, 1, 9, 7, 1]"
fn9kiv26ZcHQvjSqZ,[1],[]
Bv2XHBaSpyRz4roMp,"[1, 1]","[1, 1, 1]"
T63WdpRQ3DadyoMH2,"[1, 1, 1]","[7, 1, 1, 1, 1]"
BBpm6JgRQbJ7TfG8N,[1],"[1, 1, 1]"
5beEJyn8uAGAZuf6t,[],[1]
pGePDtoSaRfDRwcrd,"[1, 1, 1, 1, 1, 2, 2, 3]","[2, 5, 1, 1, 3]"
DkWqxc6PsdAogCGKN,"[2, 1, 1, 1, 4]","[1, 7, 4, 1, 1, 1]"
y7Dm8AF2bgGS8BSCw,[],[]
pyM2hKEWywL3uSYrN,"[2, 2]",[]
ns6qcdmW5Wy8crT8Z,[],[]
WLpdndu7HfkFYsAJq,[],[]
FqfDfeCpk3yi2oMJr,[],[]
RFNBkgkCXtbNxvXPY,[],[]
yuYMcE8PeHvFBRZj3,[1],[]
aarwZf8vx8Df5XFkT,"[1, 5, 1, 1, 9]","[3, 1, 1, 2, 1, 1, 12, 10]"
LqboPKaCewnrj2i9L,[],[]
JvSPDzc76bySFxZiG,"[1, 1]","[1, 1, 1, 1, 1, 1, 1]"
dXjo3F95TKe5AYDAT,[],[]
AgC6MDHvezyif4ftC,"[2, 2, 1]","[1, 1, 1, 1, 1]"
btRsogDCfKqsTLJ8H,[],[]
tK9AZ64NQX59v8EaN,"[1, 5, 9]",[1]
yXgy5DTyyEBMetuEL,"[1, 1]","[1, 1, 4, 1, 2, 1]"
NaNXToFQqtwyP2jcj,[],[]
FiEanr8Qgm74PmTmM,[],[]
eJvN4EZy6KDBGS3SF,"[3, 1, 1, 1]","[1, 6, 1, 1, 1, 2, 1, 1, 1]"
8XzuQEMhEsvjN5YMC,[],[]
5iBQgmivkfsNPxYPA,[],[]
NZj6p29TzYkod28KF,[],[]
F8oPn7K9JkmLP8oBX,[],[]
RagFXnfN33977sApb,"[5, 1, 3]","[2, 1, 4]"
Nfh4EAiYSryH3mEpR,[3],[1]
NMRvJEm7i2GkkTkhB,[2],[1]
bd9tj98dzegFeoXCC,[],[]
eYFibQ9PjN5kyRGz6,[],[]
gzstJQikocu2oWty3,"[1, 1, 1, 2, 1]","[1, 4, 1, 2, 3]"
6LSHN5MZkgTvuDBAx,"[6, 1, 1, 1, 1, 1]","[7, 1, 6, 2, 2, 1]"
4WBk9uBDQAbArctCv,[3],"[9, 1, 1]"
hjXJwxwTZYf3WRRqh,[],"[1, 1]"
uiR4PM3R52Y6onu55,"[2, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]"
MQt2f3GNzYg2tqmtB,"[1, 7, 4, 1, 3, 1, 2]","[1, 1, 9, 1, 1, 6, 4, 1, 1, 2, 1, 1]"
KKCP82KSrvgeHEMAN,[2],"[1, 3]"
Yyk6vjfhmYucWqxaY,"[1, 2, 3, 2]","[3, 1, 1, 1, 1]"
MGLFY8n2Ykraj8Ed5,"[1, 5, 4, 1]","[3, 1, 6, 1, 1, 1, 1]"
qH6mHe599KaencsJb,[1],"[1, 1, 1, 1, 1, 1]"
w4BWQkYxsfeub8GWm,"[2, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 6, 1, 3, 1, 3, 1]"
2SifLDqscH94PJrEZ,[2],"[1, 1, 5, 1]"
7gZj4pNMfa6iHSMjz,"[2, 1, 2, 12]","[3, 6, 3, 1]"
kBxuryTrDm2QQCfgb,[],[]
uzWqBnEmPFcjWKeRv,"[1, 1, 1, 2, 1, 1, 1, 2, 2]","[2, 2, 4, 1, 2, 1, 1, 1, 1]"
xi7cy5qxeqf44iWQu,"[1, 1, 2, 1, 2]","[5, 2, 4, 1, 5, 3, 1]"
